"",MW,MW,MW,MW,MW,MW,MW,MW
Week Start Week,RSA,Residual,Available,Available,Planned,Unplanned,Planned,Likely Risk
"",Contracted,Forecast,Dispatchable,Capacity (Less,Maintenance,Outage,Risk Level,Senario
"",Forecast,,Capacity,OR and UA),,Assumption (UA),(-14200 MW),(-16200 MW)
15-Aug-22 33,32246,30962,44812,30612,5213,12000,-350,-2350
22-Aug-22 34,31621,30327,44689,30489,5336,12000,162,-1838
29-Aug-22 35,32514,30427,44346,30146,5679,12000,-281,-2281
05-Sep-22 36,32005,29918,44256,29056,5769,13000,-862,-2862
12-Sep-22 37,31910,29823,43771,28571,6254,13000,-1252,-3252
19-Sep-22 38,31548,29461,43296,28096,6729,13000,-1365,-3365
26-Sep-22 39,31491,29403,43533,28333,6492,13000,-1070,-3070
03-Oct-22 40,31580,29475,43751,28551,6274,13000,-924,-2924
10-Oct-22 41,31429,29325,44404,29204,5621,13000,-120,-2120
17-Oct-22 42,31228,29242,45514,30314,4511,13000,1072,-928
24-Oct-22 43,31158,29194,43819,28619,6206,13000,-575,-2575
31-Oct-22 44,30831,28867,42495,27295,7530,13000,-1572,-3572
07-Nov-22 45,31255,29072,43682,28482,6343,13000,-591,-2591
14-Nov-22 46,31613,29430,44199,28999,5826,13000,-431,-2431
21-Nov-22 47,31292,29109,43527,28327,6498,13000,-782,-2782
28-Nov-22 48,31015,28832,42519,27319,7506,13000,-1512,-3512
05-Dec-22 49,31023,28837,42346,27146,7679,13000,-1690,-3690
12-Dec-22 50,30633,28446,42210,27010,7815,13000,-1436,-3436
19-Dec-22 51,29318,27132,41285,26085,8740,13000,-1047,-3047
26-Dec-22 52,26867,24680,39805,24605,10220,13000,-75,-2075
02-Jan-23 1,28588,26066,40380,25180,9645,13000,-886,-2886
09-Jan-23 2,29704,27670,41603,26403,8422,13000,-1267,-3267
16-Jan-23 3,30496,28461,41966,26766,8059,13000,-1695,-3695
23-Jan-23 4,30174,28139,41948,26748,8077,13000,-1391,-3391
30-Jan-23 5,30383,28349,41980,26780,8045,13000,-1569,-3569
06-Feb-23 6,30997,29208,42570,27370,7455,13000,-1838,-3838
13-Feb-23 7,30835,29045,42370,27170,7655,13000,-1875,-3875
20-Feb-23 8,30909,29119,42427,27227,7598,13000,-1892,-3892
27-Feb-23 9,30721,29153,43105,27905,6920,13000,-1248,-3248
06-Mar-23 10,31153,29585,43924,28724,6101,13000,-861,-2861
13-Mar-23 11,30805,29237,43355,28155,6670,13000,-1082,-3082
20-Mar-23 12,31014,29366,43900,28700,6125,13000,-666,-2666
27-Mar-23 13,30853,29206,43260,28060,6765,13000,-1146,-3146
03-Apr-23 14,32219,30573,44888,30688,5137,12000,115,-1885
10-Apr-23 15,32493,30846,45238,31038,4787,12000,192,-1808
17-Apr-23 16,32984,31338,45999,31799,4026,12000,461,-1539
24-Apr-23 17,33668,32021,45999,31799,4026,12000,-222,-2222
01-May-23 18,33601,32419,46716,32516,3309,12000,97,-1903
08-May-23 19,34531,33349,47356,33156,2669,12000,-193,-2193
15-May-23 20,34704,33522,47356,33156,2669,12000,-366,-2366
22-May-23 21,35031,33849,47556,33356,2469,12000,-493,-2493
29-May-23 22,35849,34667,48074,33874,1951,12000,-793,-2793
05-Jun-23 23,35053,33773,47578,33378,2447,12000,-395,-2395
12-Jun-23 24,35055,33774,48093,33893,1932,12000,119,-1881
19-Jun-23 25,34886,33605,48073,33873,1952,12000,268,-1732
26-Jun-23 26,35391,34110,48408,34208,1617,12000,98,-1902
03-Jul-23 27,35153,33662,48001,33801,2024,12000,139,-1861
10-Jul-23 28,35127,33636,48001,33801,2024,12000,165,-1835
17-Jul-23 29,35242,33751,47921,33721,2104,12000,-30,-2030
24-Jul-23 30,35288,33797,47978,33778,2047,12000,-19,-2019
31-Jul-23 31,34476,32985,47442,33242,2583,12000,257,-1743
07-Aug-23 32,34026,32460,46945,32745,3080,12000,285,-1715
14-Aug-23 33,33679,32114,46364,32164,3661,12000,50,-1950
21-Aug-23 34,33602,32037,46936,32736,3089,12000,699,-1301
