"",MW,MW,MW,MW,MW,MW,MW,MW
Week Start Week,RSA,Residual,Available,Available,Planned,Unplanned,Planned,Likely Risk
"",Contracted,Forecast,Dispatchable,Capacity (Less,Maintenance,Outage,Risk Level,Senario
"",Forecast,,Capacity,OR and UA),,Assumption (UA),(-14200 MW),(-16200 MW)
13-Sep-21 37,31147,29350,45201,31001,4389,12000,1651,-349
20-Sep-21 38,31131,29433,43411,29211,6179,12000,-223,-2223
27-Sep-21 39,31014,29496,43906,29706,5684,12000,209,-1791
04-Oct-21 40,31110,29268,43461,29261,6129,12000,-8,-2008
11-Oct-21 41,31261,29419,43521,29321,6069,12000,-99,-2099
18-Oct-21 42,31095,29253,43561,29361,6029,12000,107,-1893
25-Oct-21 43,30982,29140,43126,28926,6464,12000,-215,-2215
01-Nov-21 44,30818,28689,42884,28684,6706,12000,-6,-2006
08-Nov-21 45,30865,28737,43666,29466,5924,12000,729,-1271
15-Nov-21 46,30682,28553,44937,30737,4653,12000,2183,183
22-Nov-21 47,30962,28834,43157,28957,6433,12000,123,-1877
29-Nov-21 48,30628,28527,43648,29448,5942,12000,920,-1080
06-Dec-21 49,30294,28193,42958,28758,6632,12000,565,-1435
13-Dec-21 50,30078,27977,43852,29652,5738,12000,1674,-326
20-Dec-21 51,28684,26583,42240,28040,7350,12000,1456,-544
27-Dec-21 52,27041,24940,43102,28902,6488,12000,3962,1962
03-Jan-22 1,29054,26537,42307,28107,7283,12000,1570,-430
10-Jan-22 2,29675,27479,42792,28592,6798,12000,1113,-887
17-Jan-22 3,30014,27818,43431,29231,6159,12000,1413,-587
24-Jan-22 4,30149,27953,42233,28033,7357,12000,80,-1920
31-Jan-22 5,30660,28504,42813,28613,6777,12000,108,-1892
07-Feb-22 6,31070,28914,43036,28836,6554,12000,-78,-2078
14-Feb-22 7,31222,29066,42742,28542,6848,12000,-524,-2524
21-Feb-22 8,31028,28872,42871,28671,6719,12000,-201,-2201
28-Feb-22 9,31137,29264,43273,29073,6317,12000,-192,-2192
07-Mar-22 10,31398,29525,43659,29459,5931,12000,-66,-2066
14-Mar-22 11,31249,29375,43797,29597,5793,12000,221,-1779
21-Mar-22 12,31216,29161,42913,28713,6677,12000,-449,-2449
28-Mar-22 13,31470,29415,43726,29526,5864,12000,111,-1889
04-Apr-22 14,31552,30175,44157,30957,5433,11000,782,-1218
11-Apr-22 15,31814,30437,44537,31337,5053,11000,900,-1100
18-Apr-22 16,32020,30642,45257,32057,4333,11000,1414,-586
25-Apr-22 17,32052,30674,45257,32057,4333,11000,1382,-618
02-May-22 18,32553,31122,45542,32342,4048,11000,1220,-780
09-May-22 19,33309,31878,46211,33011,3379,11000,1132,-868
16-May-22 20,33997,32566,46211,33011,3379,11000,444,-1556
23-May-22 21,33899,32468,46401,33201,3189,11000,733,-1267
30-May-22 22,35359,33928,46254,33054,3336,11000,-874,-2874
06-Jun-22 23,34352,32786,45134,31934,4456,11000,-852,-2852
13-Jun-22 24,34186,32620,45265,32065,4325,11000,-555,-2555
20-Jun-22 25,34427,32861,44118,30918,5472,11000,-1943,-3943
27-Jun-22 26,34450,32884,44858,31658,4732,11000,-1227,-3227
04-Jul-22 27,34574,33000,45181,31981,4409,11000,-1020,-3020
11-Jul-22 28,34644,33071,44698,31498,4892,11000,-1573,-3573
18-Jul-22 29,35023,33450,44508,31308,5082,11000,-2142,-4142
25-Jul-22 30,34323,32750,44033,30833,5557,11000,-1917,-3917
01-Aug-22 31,33489,31924,43421,30221,6169,11000,-1704,-3704
08-Aug-22 32,33039,31474,43312,30112,6278,11000,-1362,-3362
15-Aug-22 33,33212,31647,44071,30871,5519,11000,-777,-2777
22-Aug-22 34,32861,31323,44071,30871,5519,11000,-452,-2452
29-Aug-22 35,32397,30878,44636,31436,4954,11000,557,-1443
05-Sep-22 36,32427,30641,44176,30976,5414,11000,334,-1666
12-Sep-22 37,32669,30883,44456,31256,5134,11000,373,-1627
19-Sep-22 38,32058,30272,43774,30574,5816,11000,302,-1698
