"",MW,MW,MW,MW,MW,MW,MW,MW
Week Start Week,RSA,Residual,Available,Available,Planned,Unplanned,Planned,Likely Risk
"",Contracted,Forecast,Dispatchable,Capacity (Less,Maintenance,Outage,Risk Level,Senario
"",Forecast,,Capacity,OR and UA),,Assumption (UA),(-14200 MW),(-16200 MW)
06-Jun-22 23,32931,32028,47580,33380,2442,12000,1352,-648
13-Jun-22 24,33139,31102,45692,31492,4330,12000,390,-1610
20-Jun-22 25,33388,31874,45992,31792,4030,12000,-82,-2082
27-Jun-22 26,33025,31511,45851,31651,4171,12000,140,-1860
04-Jul-22 27,33205,31632,45903,31703,4119,12000,71,-1929
11-Jul-22 28,33350,31777,45966,31766,4056,12000,-11,-2011
18-Jul-22 29,33925,32352,46559,32359,3463,12000,7,-1993
25-Jul-22 30,33858,32285,46541,32341,3481,12000,56,-1944
01-Aug-22 31,32940,31375,45878,31678,4144,12000,303,-1697
08-Aug-22 32,32610,31045,45172,30972,4850,12000,-73,-2073
15-Aug-22 33,32166,30601,44822,30622,5200,12000,21,-1979
22-Aug-22 34,31929,30410,44573,30373,5449,12000,-37,-2037
29-Aug-22 35,31893,29957,44573,30373,5449,12000,416,-1584
05-Sep-22 36,32729,30641,44443,29243,5579,13000,-1398,-3398
12-Sep-22 37,32971,30883,44703,29503,5319,13000,-1380,-3380
19-Sep-22 38,32359,30272,44323,29123,5699,13000,-1149,-3149
26-Sep-22 39,32080,29992,44071,28871,5951,13000,-1121,-3121
03-Oct-22 40,32414,30308,44938,29738,5084,13000,-570,-2570
10-Oct-22 41,31774,29809,43388,28188,6634,13000,-1621,-3621
17-Oct-22 42,32028,30038,44128,28928,5894,13000,-1110,-3110
24-Oct-22 43,31415,29451,43176,27976,6846,13000,-1475,-3475
31-Oct-22 44,31472,29346,43142,27942,6880,13000,-1404,-3404
07-Nov-22 45,31872,29689,43016,27816,7006,13000,-1873,-3873
14-Nov-22 46,31613,29430,42996,27796,7026,13000,-1634,-3634
21-Nov-22 47,31292,29109,42729,27529,7293,13000,-1580,-3580
28-Nov-22 48,31015,28832,41931,26731,8091,13000,-2100,-4100
05-Dec-22 49,31023,28837,42343,27143,7679,13000,-1693,-3693
12-Dec-22 50,30633,28446,42810,27610,7212,13000,-836,-2836
19-Dec-22 51,29318,27132,42681,27481,7341,13000,349,-1651
26-Dec-22 52,26867,24680,39802,24602,10220,13000,-78,-2078
02-Jan-23 1,28588,26066,40952,25752,9070,13000,-314,-2314
09-Jan-23 2,29704,27670,42175,26975,7847,13000,-695,-2695
16-Jan-23 3,30496,28461,42538,27338,7484,13000,-1123,-3123
23-Jan-23 4,30174,28139,41945,26745,8077,13000,-1394,-3394
30-Jan-23 5,30383,28349,41995,26795,8027,13000,-1554,-3554
06-Feb-23 6,30997,29208,42567,27367,7455,13000,-1841,-3841
13-Feb-23 7,30835,29045,42367,27167,7655,13000,-1878,-3878
20-Feb-23 8,30909,29119,42424,27224,7598,13000,-1895,-3895
27-Feb-23 9,30721,29153,43102,27902,6920,13000,-1251,-3251
06-Mar-23 10,31153,29585,43921,28721,6101,13000,-864,-2864
13-Mar-23 11,30805,29237,43937,28737,6085,13000,-500,-2500
20-Mar-23 12,31014,29366,43897,28697,6125,13000,-669,-2669
27-Mar-23 13,30853,29206,43257,28057,6765,13000,-1149,-3149
03-Apr-23 14,32219,30573,44885,30685,5137,12000,112,-1888
10-Apr-23 15,32493,30846,45235,31035,4787,12000,189,-1811
17-Apr-23 16,32984,31338,45996,31796,4026,12000,458,-1542
24-Apr-23 17,33668,32021,45996,31796,4026,12000,-225,-2225
01-May-23 18,33601,32419,46713,32513,3309,12000,94,-1906
08-May-23 19,34531,33349,47353,33153,2669,12000,-196,-2196
15-May-23 20,34704,33522,47928,33728,2094,12000,206,-1794
22-May-23 21,35031,33849,48128,33928,1894,12000,79,-1921
29-May-23 22,35849,34667,48071,33871,1951,12000,-796,-2796
05-Jun-23 23,35339,33773,47575,33375,2447,12000,-398,-2398
12-Jun-23 24,35340,33774,48090,33890,1932,12000,116,-1884
