"",MW,MW,MW,MW,MW,MW,MW,MW
Week Start Week,RSA,Residual,Available,Available,Planned,Unplanned,Planned,Likely Risk
"",Contracted,Forecast,Dispatchable,Capacity (Less,Maintenance,Outage,Risk Level,Senario
"",Forecast,,Capacity,OR and UA),,Assumption (UA),(-14200 MW),(-16200 MW)
01-Mar-21 9,29496,28550,41050,26850,7601,12000,-1700,-3700
08-Mar-21 10,29965,28520,41202,27002,7449,12000,-1518,-3518
15-Mar-21 11,29550,28121,41107,26907,7544,12000,-1215,-3215
22-Mar-21 12,29685,28256,41152,26952,7499,12000,-1305,-3305
29-Mar-21 13,29646,28176,41812,27612,6839,12000,-564,-2564
05-Apr-21 14,29543,28433,41442,28242,7209,11000,-191,-2191
12-Apr-21 15,30080,28970,42212,29012,6439,11000,42,-1958
19-Apr-21 16,30393,29283,42805,29605,5846,11000,321,-1679
26-Apr-21 17,29992,28882,43423,30223,5228,11000,1341,-659
03-May-21 18,30874,29826,44460,31260,4191,11000,1434,-566
10-May-21 19,31200,30151,45752,32552,2899,11000,2400,400
17-May-21 20,31537,30489,46577,33377,2074,11000,2888,888
24-May-21 21,32579,31531,46577,33377,2074,11000,1846,-154
31-May-21 22,34751,33703,46497,33297,2154,11000,-406,-2406
07-Jun-21 23,34333,33171,46096,32896,2555,11000,-276,-2276
14-Jun-21 24,33909,32747,46096,32896,2555,11000,148,-1852
21-Jun-21 25,33970,32809,45531,32331,3120,11000,-478,-2478
28-Jun-21 26,33884,32722,45734,32534,2917,11000,-188,-2188
05-Jul-21 27,33818,32613,45734,32534,2917,11000,-79,-2079
12-Jul-21 28,33818,32613,45544,32344,3107,11000,-269,-2269
19-Jul-21 29,34013,32808,45544,32344,3107,11000,-464,-2464
26-Jul-21 30,33906,32701,45544,32344,3107,11000,-358,-2358
02-Aug-21 31,33119,31572,44824,31624,3827,11000,51,-1949
09-Aug-21 32,32535,30988,44089,30889,4562,11000,-100,-2100
16-Aug-21 33,32388,30841,44089,30889,4562,11000,47,-1953
23-Aug-21 34,31882,30335,43871,30671,4780,11000,336,-1664
30-Aug-21 35,32141,30594,43386,30186,5265,11000,-409,-2409
06-Sep-21 36,31921,30317,43682,30482,4969,11000,164,-1836
13-Sep-21 37,31832,30228,43107,29907,5544,11000,-322,-2322
20-Sep-21 38,31721,30117,43132,29932,5519,11000,-185,-2185
27-Sep-21 39,31498,29895,43008,29808,5643,11000,-87,-2087
04-Oct-21 40,32009,30007,42953,29753,5698,11000,-255,-2255
11-Oct-21 41,31732,29782,43146,29946,5505,11000,164,-1836
18-Oct-21 42,31714,29763,42671,29471,5980,11000,-293,-2293
25-Oct-21 43,31525,29575,42367,29167,6284,11000,-408,-2408
01-Nov-21 44,31435,29066,41788,28588,6863,11000,-478,-2478
08-Nov-21 45,31408,29038,42284,29084,6367,11000,45,-1955
15-Nov-21 46,31522,29153,42255,29055,6396,11000,-98,-2098
22-Nov-21 47,31379,29010,41670,28470,6981,11000,-541,-2541
29-Nov-21 48,31027,28674,42129,28929,6522,11000,254,-1746
06-Dec-21 49,31147,28807,41672,28472,6979,11000,-335,-2335
13-Dec-21 50,30318,27977,41374,28174,7277,11000,196,-1804
20-Dec-21 51,28924,26583,40814,27614,7837,11000,1030,-970
27-Dec-21 52,27280,24940,41766,28566,6885,11000,3626,1626
03-Jan-22 1,29396,26817,41481,28281,7170,11000,1464,-536
10-Jan-22 2,30101,27824,41895,28695,6756,11000,870,-1130
17-Jan-22 3,30279,28002,41564,28364,7087,11000,361,-1639
24-Jan-22 4,30216,27940,42917,29717,5734,11000,1777,-223
31-Jan-22 5,31052,28896,42803,29603,5848,11000,706,-1294
07-Feb-22 6,31541,29386,42993,29793,5658,11000,407,-1593
14-Feb-22 7,31516,29361,42993,29793,5658,11000,432,-1568
21-Feb-22 8,31329,29174,43608,30408,5043,11000,1234,-766
28-Feb-22 9,31271,29375,43722,30522,4929,11000,1147,-853
07-Mar-22 10,31516,29725,43897,30697,4754,11000,972,-1028
