"",MW,MW,MW,MW,MW,MW,MW,MW
Week Start Week,RSA,Residual,Available,Available,Planned,Unplanned,Planned,Likely Risk
"",Contracted,Forecast,Dispatchable,Capacity (Less,Maintenance,Outage,Risk Level,Senario
"",Forecast,,Capacity,OR and UA),,Assumption (UA),(-14200 MW),(-16200 MW)
04-Apr-22 14,30622,28712,43661,29461,5929,12000,749,-1251
11-Apr-22 15,30233,28862,43534,29334,6056,12000,472,-1528
18-Apr-22 16,29023,29018,43780,29580,5810,12000,562,-1438
25-Apr-22 17,29696,29690,43847,29647,5743,12000,-44,-2044
02-May-22 18,30777,30771,44901,30701,4689,12000,-71,-2071
09-May-22 19,30871,30865,45391,31191,4199,12000,325,-1675
16-May-22 20,31352,31347,45636,31436,3954,12000,89,-1911
23-May-22 21,31910,31905,46301,32101,3289,12000,196,-1804
30-May-22 22,33241,33236,46982,32782,2608,12000,-454,-2454
06-Jun-22 23,32343,32337,45762,31562,3828,12000,-776,-2776
13-Jun-22 24,32246,32240,45910,31710,3680,12000,-531,-2531
20-Jun-22 25,32068,32063,46135,31935,3455,12000,-128,-2128
27-Jun-22 26,31609,31604,46109,31909,3481,12000,305,-1695
04-Jul-22 27,33006,33000,46166,31966,3424,12000,-1035,-3035
11-Jul-22 28,33076,33071,46109,31909,3481,12000,-1162,-3162
18-Jul-22 29,33455,33450,46352,32152,3238,12000,-1298,-3298
25-Jul-22 30,32755,32750,46542,32342,3048,12000,-408,-2408
01-Aug-22 31,31930,31924,45258,31058,4332,12000,-867,-2867
08-Aug-22 32,31479,31474,44517,30317,5073,12000,-1157,-3157
15-Aug-22 33,31653,31647,44518,30318,5072,12000,-1330,-3330
22-Aug-22 34,31328,31323,44855,30655,4735,12000,-668,-2668
29-Aug-22 35,30883,30878,44098,29898,5492,12000,-981,-2981
05-Sep-22 36,30647,30641,44158,28958,5432,13000,-1684,-3684
12-Sep-22 37,30888,30883,43830,28630,5760,13000,-2253,-4253
19-Sep-22 38,30277,30272,43393,28193,6197,13000,-2079,-4079
26-Sep-22 39,29998,29992,42829,27629,6761,13000,-2363,-4363
03-Oct-22 40,30313,30308,43696,28496,5894,13000,-1812,-3812
10-Oct-22 41,29814,29809,43364,28164,6226,13000,-1646,-3646
17-Oct-22 42,30043,30038,44054,28854,5536,13000,-1184,-3184
24-Oct-22 43,29455,29451,43518,28318,6072,13000,-1133,-3133
31-Oct-22 44,29351,29346,42607,27407,6983,13000,-1940,-3940
07-Nov-22 45,29694,29689,42873,27673,6717,13000,-2016,-4016
14-Nov-22 46,29435,29430,42402,27202,7188,13000,-2229,-4229
21-Nov-22 47,29114,29109,42248,27048,7342,13000,-2061,-4061
28-Nov-22 48,28837,28832,41595,26395,7995,13000,-2437,-4437
05-Dec-22 49,28842,28837,43210,28010,6380,13000,-827,-2827
12-Dec-22 50,28451,28446,42179,26979,7411,13000,-1468,-3468
19-Dec-22 51,27137,27132,40644,25444,8946,13000,-1688,-3688
26-Dec-22 52,24685,24680,40724,25524,8866,13000,843,-1157
02-Jan-23 1,26071,26066,40724,25524,8866,13000,-543,-2543
09-Jan-23 2,27675,27670,41189,25989,8401,13000,-1681,-3681
16-Jan-23 3,28466,28461,41180,25980,8410,13000,-2482,-4482
23-Jan-23 4,28144,28139,41205,26005,8385,13000,-2135,-4135
30-Jan-23 5,28354,28349,41065,25865,8525,13000,-2484,-4484
06-Feb-23 6,29213,29208,41598,26398,7992,13000,-2810,-4810
13-Feb-23 7,29050,29045,41598,26398,7992,13000,-2648,-4648
20-Feb-23 8,29124,29119,42390,27190,7200,13000,-1930,-3930
27-Feb-23 9,29158,29153,42737,27537,6853,13000,-1616,-3616
06-Mar-23 10,29590,29585,43166,27966,6424,13000,-1619,-3619
13-Mar-23 11,29242,29237,42502,27302,7088,13000,-1936,-3936
20-Mar-23 12,29372,29366,42367,27167,7223,13000,-2200,-4200
27-Mar-23 13,29211,29206,42942,27742,6648,13000,-1464,-3464
03-Apr-23 14,30578,30573,41035,26835,8555,12000,-3738,-5738
10-Apr-23 15,30852,30846,39188,24988,10402,12000,-5859,-7859
