"",MW,MW,MW,MW,MW,MW,MW,MW
Week Start Week,RSA,Residual,Available,Available,Planned,Unplanned,Planned,Likely Risk
"",Contracted,Forecast,Dispatchable,Capacity (Less,Maintenance,Outage,Risk Level,Senario
"",Forecast,,Capacity,OR and UA),,Assumption (UA),(-15200 MW),(-16700 MW)
26-Sep-22 39,31089,29560,43857,28657,6168,13000,-903,-2403
03-Oct-22 40,31045,28986,43486,28286,6539,13000,-700,-2200
10-Oct-22 41,31113,29008,43227,28027,6798,13000,-981,-2481
17-Oct-22 42,30999,29019,44077,28877,5948,13000,-142,-1642
24-Oct-22 43,30980,29016,42957,27757,7068,13000,-1259,-2759
31-Oct-22 44,30495,28442,42360,27160,7665,13000,-1282,-2782
07-Nov-22 45,30908,28726,41845,26645,8180,13000,-2080,-3580
14-Nov-22 46,30713,28530,43226,28026,6799,13000,-504,-2004
21-Nov-22 47,30447,28264,42124,26924,7901,13000,-1340,-2840
28-Nov-22 48,30228,28045,42113,26913,7912,13000,-1132,-2632
05-Dec-22 49,30252,28066,42174,26974,7851,13000,-1092,-2592
12-Dec-22 50,29987,27800,42191,26991,7834,13000,-809,-2309
19-Dec-22 51,28906,26719,40626,25426,9399,13000,-1293,-2793
26-Dec-22 52,26867,24680,39986,24786,10039,13000,106,-1394
02-Jan-23 1,28588,26066,41191,25991,8834,13000,-75,-1575
09-Jan-23 2,29704,27670,41863,26663,8162,13000,-1007,-2507
16-Jan-23 3,30496,28461,41793,26593,8232,13000,-1868,-3368
23-Jan-23 4,30174,28139,41963,26763,8062,13000,-1376,-2876
30-Jan-23 5,30383,28349,42180,26980,7845,13000,-1369,-2869
06-Feb-23 6,30997,29208,43324,28124,6701,13000,-1084,-2584
13-Feb-23 7,30835,29045,43124,27924,6901,13000,-1121,-2621
20-Feb-23 8,30909,29119,42646,27446,7379,13000,-1673,-3173
27-Feb-23 9,30721,29153,43291,28091,6734,13000,-1062,-2562
06-Mar-23 10,31153,29585,43775,28575,6250,13000,-1010,-2510
13-Mar-23 11,30805,29237,43923,28723,6102,13000,-514,-2014
20-Mar-23 12,31014,29366,43941,28741,6084,13000,-625,-2125
27-Mar-23 13,30853,29206,43751,28551,6274,13000,-655,-2155
03-Apr-23 14,32219,30573,45246,30046,4779,13000,-527,-2027
10-Apr-23 15,32493,30846,45156,29956,4869,13000,-890,-2390
17-Apr-23 16,32984,31338,45741,30541,4284,13000,-797,-2297
24-Apr-23 17,33668,32021,46336,31136,3689,13000,-885,-2385
01-May-23 18,33601,32419,46911,31711,3114,13000,-708,-2208
08-May-23 19,34531,33349,47741,32541,2284,13000,-808,-2308
15-May-23 20,34704,33522,47931,32731,2094,13000,-791,-2291
22-May-23 21,35031,33849,48131,32931,1894,13000,-918,-2418
29-May-23 22,35849,34667,48074,32874,1951,13000,-1793,-3293
05-Jun-23 23,35053,33773,47726,32526,2299,13000,-1247,-2747
12-Jun-23 24,35055,33774,47874,32674,2151,13000,-1100,-2600
19-Jun-23 25,34886,33605,47874,32674,2151,13000,-931,-2431
26-Jun-23 26,35391,34110,48331,33131,1694,13000,-979,-2479
03-Jul-23 27,35153,33662,47204,32004,2821,13000,-1658,-3158
10-Jul-23 28,35127,33636,47204,32004,2821,13000,-1632,-3132
17-Jul-23 29,35242,33751,47204,32004,2821,13000,-1747,-3247
24-Jul-23 30,35288,33797,47261,32061,2764,13000,-1736,-3236
31-Jul-23 31,34476,32985,47318,32118,2707,13000,-867,-2367
07-Aug-23 32,34154,32460,46821,31621,3204,13000,-839,-2339
14-Aug-23 33,33807,32114,46050,30850,3975,13000,-1264,-2764
21-Aug-23 34,33730,32037,45902,30702,4123,13000,-1335,-2835
28-Aug-23 35,33641,31961,45694,30494,4331,13000,-1467,-2967
04-Sep-23 36,33879,31791,45905,30705,4120,13000,-1086,-2586
11-Sep-23 37,33528,31440,46640,31440,3385,13000,0,-1500
18-Sep-23 38,32653,30565,44920,29720,5105,13000,-845,-2345
25-Sep-23 39,32649,30561,44589,29389,5436,13000,-1172,-2672
02-Oct-23 40,32567,30461,44304,29104,5721,13000,-1357,-2857
