"",MW,MW,MW,MW,MW,MW,MW,MW
Week Start Week,RSA,Residual,Available,Available,Planned,Unplanned,Planned,Likely Risk
"",Contracted,Forecast,Dispatchable,Capacity (Less,Maintenance,Outage,Risk Level,Senario
"",Forecast,,Capacity,OR and UA),,Assumption (UA),(-15200 MW),(-16700 MW)
21-Nov-22 47,30066,28309,43614,28414,5577,13000,105,-1395
28-Nov-22 48,29462,27295,43455,28255,5736,13000,960,-540
05-Dec-22 49,29380,27194,41795,26595,7396,13000,-599,-2099
12-Dec-22 50,29178,26991,41199,25999,7992,13000,-992,-2492
19-Dec-22 51,28505,26318,40235,25035,8956,13000,-1283,-2783
26-Dec-22 52,26034,23847,38385,23185,10806,13000,-662,-2162
02-Jan-23 1,27906,25872,40099,24899,9092,13000,-973,-2473
09-Jan-23 2,28978,26944,41831,26631,7360,13000,-313,-1813
16-Jan-23 3,29727,27693,41814,26614,7377,13000,-1079,-2579
23-Jan-23 4,29904,27869,42234,27034,6957,13000,-835,-2335
30-Jan-23 5,30110,28320,42044,26844,7147,13000,-1476,-2976
06-Feb-23 6,30258,28469,42667,27467,6524,13000,-1002,-2502
13-Feb-23 7,30413,28624,42290,27090,6901,13000,-1534,-3034
20-Feb-23 8,30909,29119,42532,27332,6659,13000,-1787,-3287
27-Feb-23 9,30721,29153,43177,27977,6014,13000,-1176,-2676
06-Mar-23 10,31153,29585,43661,28461,5530,13000,-1124,-2624
13-Mar-23 11,30805,29237,43234,28034,5957,13000,-1203,-2703
20-Mar-23 12,31014,29366,43234,28034,5957,13000,-1332,-2832
27-Mar-23 13,30853,29206,43619,28419,5572,13000,-787,-2287
03-Apr-23 14,32219,30573,44349,29149,4842,13000,-1424,-2924
10-Apr-23 15,32493,30846,45042,29842,4149,13000,-1004,-2504
17-Apr-23 16,32984,31338,45627,30427,3564,13000,-911,-2411
24-Apr-23 17,33668,32021,46222,31022,2969,13000,-999,-2499
01-May-23 18,33601,32419,46797,31597,2394,13000,-822,-2322
08-May-23 19,34531,33349,47627,32427,1564,13000,-922,-2422
15-May-23 20,34704,33522,47817,32617,1374,13000,-905,-2405
22-May-23 21,35031,33849,48017,32817,1174,13000,-1032,-2532
29-May-23 22,35849,34667,47960,32760,1231,13000,-1907,-3407
05-Jun-23 23,35053,33773,47612,32412,1579,13000,-1361,-2861
12-Jun-23 24,35055,33774,47760,32560,1431,13000,-1214,-2714
19-Jun-23 25,34886,33605,47760,32560,1431,13000,-1045,-2545
26-Jun-23 26,35391,34110,48217,33017,974,13000,-1093,-2593
03-Jul-23 27,35153,33662,47090,31890,2101,13000,-1772,-3272
10-Jul-23 28,35127,33636,47090,31890,2101,13000,-1746,-3246
17-Jul-23 29,35242,33751,47090,31890,2101,13000,-1861,-3361
24-Jul-23 30,35288,33797,47147,31947,2044,13000,-1850,-3350
31-Jul-23 31,34476,32985,47204,32004,1987,13000,-981,-2481
07-Aug-23 32,34154,32460,46707,31507,2484,13000,-953,-2453
14-Aug-23 33,33807,32114,45936,30736,3255,13000,-1378,-2878
21-Aug-23 34,33730,32037,45788,30588,3403,13000,-1449,-2949
28-Aug-23 35,33641,31961,45580,30380,3611,13000,-1581,-3081
04-Sep-23 36,33478,31791,45141,29941,4050,13000,-1850,-3350
11-Sep-23 37,33126,31440,46526,31326,2665,13000,-114,-1614
18-Sep-23 38,32252,30565,44806,29606,4385,13000,-959,-2459
25-Sep-23 39,32248,30561,43825,28625,5366,13000,-1936,-3436
02-Oct-23 40,32438,30461,44190,28990,5001,13000,-1471,-2971
09-Oct-23 41,31837,29871,43705,28505,5486,13000,-1366,-2866
16-Oct-23 42,31305,29362,43430,28230,5761,13000,-1132,-2632
23-Oct-23 43,30945,29062,42650,27450,6541,13000,-1612,-3112
30-Oct-23 44,31035,29125,43278,28078,5913,13000,-1047,-2547
06-Nov-23 45,31002,28819,42947,27747,6244,13000,-1072,-2572
13-Nov-23 46,30872,28689,42445,27245,6746,13000,-1444,-2944
20-Nov-23 47,30689,28506,42502,27302,6689,13000,-1204,-2704
27-Nov-23 48,30642,28459,42565,27365,6626,13000,-1094,-2594
