"",MW,MW,MW,MW,MW,MW,MW,MW
Week Start Week,RSA,Residual,Available,Available,Planned,Unplanned,Planned,Likely Risk
"",Contracted,Forecast,Dispatchable,Capacity (Less,Maintenance,Outage,Risk Level,Senario
"",Forecast,,Capacity,OR and UA),,Assumption (UA),(-14200 MW),(-16200 MW)
03-Jan-22 1,27553,25348,41570,27370,8020,12000,2022,22
10-Jan-22 2,29189,27151,41627,27427,7963,12000,275,-1725
17-Jan-22 3,29462,27425,42511,28311,7079,12000,886,-1114
24-Jan-22 4,29847,27809,41791,27591,7799,12000,-218,-2218
31-Jan-22 5,30033,27949,43060,28860,6530,12000,910,-1090
07-Feb-22 6,30280,28197,42716,28516,6874,12000,319,-1681
14-Feb-22 7,30459,28376,42540,28340,7050,12000,-36,-2036
21-Feb-22 8,30125,28042,42928,28728,6662,12000,685,-1315
28-Feb-22 9,30232,28359,42859,28659,6731,12000,299,-1701
07-Mar-22 10,30863,28990,43676,29476,5914,12000,486,-1514
14-Mar-22 11,30821,28948,44007,29807,5583,12000,859,-1141
21-Mar-22 12,30886,28831,43432,29232,6158,12000,401,-1599
28-Mar-22 13,31470,29415,43301,29101,6289,12000,-314,-2314
04-Apr-22 14,31552,30175,44216,31016,5374,11000,841,-1159
11-Apr-22 15,31814,30437,44476,31276,5114,11000,839,-1161
18-Apr-22 16,32020,30642,44951,31751,4639,11000,1108,-892
25-Apr-22 17,32052,30674,44906,31706,4684,11000,1031,-969
02-May-22 18,32553,31122,45481,32281,4109,11000,1159,-841
09-May-22 19,33309,31878,46401,33201,3189,11000,1322,-678
16-May-22 20,33997,32566,46401,33201,3189,11000,634,-1366
23-May-22 21,33899,32468,46401,33201,3189,11000,733,-1267
30-May-22 22,35359,33928,46585,33385,3005,11000,-543,-2543
06-Jun-22 23,34352,32786,46100,32900,3490,11000,114,-1886
13-Jun-22 24,34186,32620,45507,32307,4083,11000,-313,-2313
20-Jun-22 25,34427,32861,46160,32960,3430,11000,99,-1901
27-Jun-22 26,34450,32884,46142,32942,3448,11000,57,-1943
04-Jul-22 27,34574,33000,45925,32725,3665,11000,-276,-2276
11-Jul-22 28,34644,33071,46162,32962,3428,11000,-109,-2109
18-Jul-22 29,35023,33450,46162,32962,3428,11000,-488,-2488
25-Jul-22 30,34323,32750,46162,32962,3428,11000,212,-1788
01-Aug-22 31,33489,31924,45068,31868,4522,11000,-57,-2057
08-Aug-22 32,33039,31474,44384,31184,5206,11000,-290,-2290
15-Aug-22 33,33212,31647,43920,30720,5670,11000,-928,-2928
22-Aug-22 34,32861,31323,44110,30910,5480,11000,-413,-2413
29-Aug-22 35,32397,30878,44296,31096,5294,11000,217,-1783
05-Sep-22 36,32729,30641,44215,31015,5375,11000,373,-1627
12-Sep-22 37,32971,30883,44442,31242,5148,11000,359,-1641
19-Sep-22 38,32359,30272,43805,30605,5785,11000,333,-1667
26-Sep-22 39,32080,29992,43349,30149,6241,11000,157,-1843
03-Oct-22 40,32414,30308,44096,30896,5494,11000,588,-1412
10-Oct-22 41,31774,29809,43327,30127,6263,11000,317,-1683
17-Oct-22 42,32028,30038,42986,29786,6604,11000,-252,-2252
24-Oct-22 43,31415,29451,42302,29102,7288,11000,-349,-2349
31-Oct-22 44,31472,29346,42168,28968,7422,11000,-379,-2379
07-Nov-22 45,31872,29689,42111,28911,7479,11000,-778,-2778
14-Nov-22 46,31613,29430,42311,29111,7279,11000,-320,-2320
21-Nov-22 47,31292,29109,42105,28905,7485,11000,-204,-2204
28-Nov-22 48,31015,28832,41600,28400,7990,11000,-432,-2432
05-Dec-22 49,31026,28837,42817,29617,6773,11000,780,-1220
12-Dec-22 50,30635,28446,41638,28438,7952,11000,-9,-2009
19-Dec-22 51,29321,27132,40103,26903,9487,11000,-229,-2229
26-Dec-22 52,26869,24680,40183,26983,9407,11000,2302,302
02-Jan-23 1,"#N/A","#N/A","#N/A","#N/A","#N/A",11000,"#N/A","#N/A"
09-Jan-23 2,"#N/A","#N/A","#N/A","#N/A","#N/A",11000,"#N/A","#N/A"
