"",MW,MW,MW,MW,MW,MW,MW,MW
Week Start Week,RSA,Residual,Available,Available,Planned,Unplanned,Planned,Likely Risk
"",Contracted,Forecast,Dispatchable,Capacity (Less,Maintenance,Outage,Risk Level,Senario
"",Forecast,,Capacity,OR and UA),,Assumption (UA),(-14200 MW),(-16200 MW)
18-Jan-21 3,29449,27612,40151,25951,8500,12000,-1662,-3662
25-Jan-21 4,29539,27483,40204,26004,8447,12000,-1479,-3479
01-Feb-21 5,29273,27786,40949,26749,7702,12000,-1038,-3038
08-Feb-21 6,29719,28232,40882,26682,7769,12000,-1551,-3551
15-Feb-21 7,29602,28115,41093,26893,7558,12000,-1222,-3222
22-Feb-21 8,29569,28082,41150,26950,7501,12000,-1133,-3133
01-Mar-21 9,29717,28274,41261,27061,7390,12000,-1213,-3213
08-Mar-21 10,29980,28536,41292,27092,7359,12000,-1445,-3445
15-Mar-21 11,29879,28436,42139,27939,6512,12000,-497,-2497
22-Mar-21 12,29979,28536,41737,27537,6914,12000,-1000,-3000
29-Mar-21 13,30002,28559,42377,28177,6274,12000,-382,-2382
05-Apr-21 14,30303,29123,42027,27827,6624,12000,-1297,-3297
12-Apr-21 15,31064,29885,43412,29212,5239,12000,-673,-2673
19-Apr-21 16,31760,30581,43412,29212,5239,12000,-1369,-3369
