"",MW,MW,MW,MW,MW,MW,MW,MW
Week Start Week,RSA,Residual,Available,Available,Planned,Unplanned,Planned,Likely Risk
"",Contracted,Forecast,Dispatchable,Capacity (Less,Maintenance,Outage,Risk Level,Senario
"",Forecast,,Capacity,OR and UA),,Assumption (UA),(-14200 MW),(-16200 MW)
11-Jan-21 2,29069,27329,40206,26006,8445,12000,-1324,-3324
18-Jan-21 3,29337,27488,39879,25679,8772,12000,-1809,-3809
25-Jan-21 4,29447,27598,40847,26647,7804,12000,-951,-2951
01-Feb-21 5,29337,27851,40807,26607,7844,12000,-1244,-3244
08-Feb-21 6,29784,28297,40300,26100,8351,12000,-2198,-4198
15-Feb-21 7,29602,28115,41413,27213,7238,12000,-902,-2902
22-Feb-21 8,29569,28082,41108,26908,7543,12000,-1175,-3175
01-Mar-21 9,29717,28274,41584,27384,7067,12000,-890,-2890
08-Mar-21 10,29980,28536,41742,27542,6909,12000,-995,-2995
15-Mar-21 11,29879,28436,41624,27424,7027,12000,-1012,-3012
22-Mar-21 12,29979,28536,41742,27542,6909,12000,-995,-2995
29-Mar-21 13,30002,28559,42306,28106,6345,12000,-453,-2453
05-Apr-21 14,30303,29123,42673,28473,5978,12000,-651,-2651
12-Apr-21 15,32217,31038,43858,29658,4793,12000,-1380,-3380
