"",,MW,MW,MW,MW,MW,MW,MW,MW
Week Start,Week,"RSAContractedForecast","ResidualForecast","AvailableDispatchableCapacity","AvailableCapacity (LessOR and UA)","PlannedMaintenance","UnplannedOutageAssumption (UA)","PlannedRisk Level(-13200 MW)","Likely RiskSenario(-15200 MW)"
05-Apr-21,14,30812,29764,44481,31281,4390,11000,1516,-484
12-Apr-21,15,30407,29399,41746,28546,7125,11000,-853,-2853
19-Apr-21,16,30393,29283,43264,30064,5607,11000,780,-1220
26-Apr-21,17,29992,28882,42975,29775,5896,11000,893,-1107
03-May-21,18,30874,29826,43381,30181,5490,11000,355,-1645
10-May-21,19,31200,30151,44680,31480,4191,11000,1328,-672
17-May-21,20,31537,30489,45685,32485,3186,11000,1996,-4
24-May-21,21,32579,31531,47130,33930,1741,11000,2399,399
31-May-21,22,32038,30989,44638,31438,4233,11000,448,-1552
07-Jun-21,23,32493,31331,44933,31733,3938,11000,401,-1599
14-Jun-21,24,32135,30973,45555,32355,3316,11000,1381,-619
21-Jun-21,25,32760,31599,46285,33085,2586,11000,1486,-514
28-Jun-21,26,32823,31618,46140,32940,2731,11000,1322,-678
05-Jul-21,27,33818,32613,45950,32750,2921,11000,137,-1863
12-Jul-21,28,33818,32613,45950,32750,2921,11000,137,-1863
19-Jul-21,29,34013,32808,46281,33081,2590,11000,273,-1727
26-Jul-21,30,33906,32701,45950,32750,2921,11000,48,-1952
02-Aug-21,31,33119,31572,44780,31580,4091,11000,7,-1993
09-Aug-21,32,32535,30988,44590,31390,4281,11000,401,-1599
16-Aug-21,33,32388,30841,44379,31179,4492,11000,337,-1663
23-Aug-21,34,31882,30335,43939,30739,4932,11000,404,-1596
30-Aug-21,35,32141,30594,44094,30894,4777,11000,299,-1701
06-Sep-21,36,31921,30317,44059,30859,4812,11000,541,-1459
13-Sep-21,37,31832,30228,43484,30284,5387,11000,55,-1945
20-Sep-21,38,31721,30117,43484,30284,5387,11000,167,-1833
27-Sep-21,39,31498,29895,43279,30079,5592,11000,184,-1816
04-Oct-21,40,32009,30007,43184,29984,5687,11000,-24,-2024
11-Oct-21,41,31732,29782,43054,29854,5817,11000,72,-1928
18-Oct-21,42,31714,29763,43054,29854,5817,11000,90,-1910
25-Oct-21,43,31525,29575,43282,30082,5589,11000,507,-1493
01-Nov-21,44,31435,29066,42248,29048,6623,11000,-18,-2018
08-Nov-21,45,31408,29038,42744,29544,6127,11000,505,-1495
15-Nov-21,46,31522,29153,42240,29040,6631,11000,-113,-2113
22-Nov-21,47,31379,29010,41625,28425,7246,11000,-586,-2586
29-Nov-21,48,31027,28674,42084,28884,6787,11000,209,-1791
06-Dec-21,49,31147,28807,42107,28907,6764,11000,100,-1900
13-Dec-21,50,30318,27977,41459,28259,7412,11000,281,-1719
20-Dec-21,51,28924,26583,40794,27594,8077,11000,1010,-990
27-Dec-21,52,27280,24940,40916,27716,7955,11000,2776,776
03-Jan-22,1,29396,26817,40711,27511,8160,11000,694,-1306
10-Jan-22,2,30101,27824,41054,27854,7817,11000,29,-1971
17-Jan-22,3,30279,28002,40723,27523,8148,11000,-480,-2480
24-Jan-22,4,30216,27940,42961,29761,5910,11000,1821,-179
31-Jan-22,5,31053,28896,42207,29007,6664,11000,110,-1890
07-Feb-22,6,31542,29386,43012,29812,5859,11000,426,-1574
14-Feb-22,7,31517,29361,43343,30143,5528,11000,782,-1218
21-Feb-22,8,31330,29174,43487,30287,5384,11000,1113,-887
28-Feb-22,9,31272,29375,43601,30401,5270,11000,1026,-974
07-Mar-22,10,31528,29725,44126,30926,4745,11000,1201,-799
14-Mar-22,11,31342,29492,44126,30926,4745,11000,1433,-567
21-Mar-22,12,31144,29161,43655,30455,5216,11000,1293,-707
28-Mar-22,13,31398,29415,44366,31166,4505,11000,1751,-249
04-Apr-22,14,31778,30416,44463,31263,4408,11000,847,-1153
11-Apr-22,15,32207,30845,43255,30055,5616,11000,-790,-2790
