"",MW,MW,MW,MW,MW,MW,MW,MW
Week Start Week,RSA,Residual,Available,Available,Planned,Unplanned,Planned,Likely Risk
"",Contracted,Forecast,Dispatchable,Capacity (Less,Maintenance,Outage,Risk Level,Senario
"",Forecast,,Capacity,OR and UA),,Assumption (UA),(-18200 MW),(-20200 MW)
11-Sep-23 37,32257,30200,45597,27397,3594,16000,-2804,-4804
18-Sep-23 38,32063,29856,44691,26491,4500,16000,-3366,-5366
25-Sep-23 39,31078,29391,44041,25841,5150,16000,-3551,-5551
02-Oct-23 40,30953,28976,43958,25758,5233,16000,-3219,-5219
09-Oct-23 41,30997,29039,44066,25866,5125,16000,-3173,-5173
16-Oct-23 42,30875,28899,44337,26137,4854,16000,-2762,-4762
23-Oct-23 43,31121,29144,44724,26524,4467,16000,-2621,-4621
30-Oct-23 44,30573,28564,43949,25749,5242,16000,-2815,-4815
06-Nov-23 45,30606,28538,44083,25883,5108,16000,-2655,-4655
13-Nov-23 46,30370,28302,44140,25940,5051,16000,-2362,-4362
20-Nov-23 47,30204,28136,43500,25300,5691,16000,-2837,-4837
27-Nov-23 48,29935,27867,42837,24637,6354,16000,-3231,-5231
04-Dec-23 49,30174,27992,42837,24637,6354,16000,-3355,-5355
11-Dec-23 50,30109,27927,43017,24817,6174,16000,-3110,-5110
18-Dec-23 51,28935,26752,42668,24468,6523,16000,-2284,-4284
25-Dec-23 52,26312,24130,39608,21408,9583,16000,-2722,-4722
01-Jan-24 1,27780,25636,40533,22333,8658,16000,-3303,-5303
08-Jan-24 2,29422,27278,41715,23515,7476,16000,-3764,-5764
15-Jan-24 3,29883,27739,42580,24380,6611,16000,-3359,-5359
22-Jan-24 4,30203,28059,42580,24380,6611,16000,-3680,-5680
29-Jan-24 5,30358,28214,42580,24380,6611,16000,-3834,-5834
05-Feb-24 6,30700,28610,43425,25225,5766,16000,-3385,-5385
12-Feb-24 7,30793,28704,43425,25225,5766,16000,-3479,-5479
19-Feb-24 8,30724,28635,43030,24830,6161,16000,-3805,-5805
26-Feb-24 9,30567,28477,43030,24830,6161,16000,-3647,-5647
04-Mar-24 10,30918,28958,43693,25493,5498,16000,-3466,-5466
11-Mar-24 11,30966,29006,43516,25316,5675,16000,-3690,-5690
18-Mar-24 12,30790,28807,43758,25558,5433,16000,-3249,-5249
25-Mar-24 13,30764,28719,43342,25142,5849,16000,-3577,-5577
01-Apr-24 14,31169,29620,44797,26597,4394,16000,-3024,-5024
08-Apr-24 15,31684,30135,44327,26127,4864,16000,-4008,-6008
15-Apr-24 16,32032,30483,45283,27083,3908,16000,-3401,-5401
22-Apr-24 17,32418,30869,45108,26908,4083,16000,-3961,-5961
29-Apr-24 18,32233,30877,45723,27523,3468,16000,-3354,-5354
06-May-24 19,33030,31695,46316,28116,2875,16000,-3579,-5579
13-May-24 20,33673,32338,46491,28291,2700,16000,-4047,-6047
20-May-24 21,33942,32607,47211,29011,1980,16000,-3596,-5596
27-May-24 22,34467,33131,47179,28979,2012,16000,-4153,-6153
03-Jun-24 23,34299,32501,47179,28979,2012,16000,-3523,-5523
10-Jun-24 24,34408,32610,47179,28979,2012,16000,-3631,-5631
17-Jun-24 25,34302,32504,47754,29554,1437,16000,-2951,-4951
24-Jun-24 26,34515,32717,47754,29554,1437,16000,-3163,-5163
01-Jul-24 27,33834,32299,47414,29214,1777,16000,-3086,-5086
08-Jul-24 28,34176,32642,46694,28494,2497,16000,-4148,-6148
15-Jul-24 29,33948,32413,47134,28934,2057,16000,-3480,-5480
22-Jul-24 30,34257,32722,47140,28940,2051,16000,-3783,-5783
29-Jul-24 31,33502,31968,46555,28355,2636,16000,-3613,-5613
05-Aug-24 32,33064,31447,45330,27130,3861,16000,-4318,-6318
12-Aug-24 33,32520,30903,45330,27130,3861,16000,-3774,-5774
19-Aug-24 34,32414,30798,44552,26352,4639,16000,-4446,-6446
26-Aug-24 35,31943,30327,44857,26657,4334,16000,-3670,-5670
02-Sep-24 36,32476,30789,45047,26847,4144,16000,-3943,-5943
09-Sep-24 37,32413,30726,44599,26399,4592,16000,-4328,-6328
16-Sep-24 38,31807,30120,43679,25479,5512,16000,-4641,-6641
