"",MW,MW,MW,MW,MW,MW,MW,MW
Week Start Week,RSA,Residual,Available,Available,Planned,Unplanned,Planned,Likely Risk
"",Contracted,Forecast,Dispatchable,Capacity (Less,Maintenance,Outage,Risk Level,Senario
"",Forecast,,Capacity,OR and UA),,Assumption (UA),(-15200 MW),(-16700 MW)
13-Feb-23 7,30411,28490,44351,29151,4840,13000,"#REF!","#REF!"
20-Feb-23 8,30399,28273,44462,29262,4729,13000,989,-511
27-Feb-23 9,29935,28345,44399,29199,4792,13000,854,-646
06-Mar-23 10,30135,28567,43584,28384,5607,13000,-183,-1683
13-Mar-23 11,30131,28563,43791,28591,5400,13000,28,-1472
20-Mar-23 12,30207,28559,43791,28591,5400,13000,32,-1468
27-Mar-23 13,30158,28511,43791,28591,5400,13000,80,-1420
03-Apr-23 14,29943,28296,42493,27293,6698,13000,-1003,-2503
10-Apr-23 15,30357,28711,43213,28013,5978,13000,-698,-2198
17-Apr-23 16,31197,29550,43948,28748,5243,13000,-802,-2302
24-Apr-23 17,31577,29931,44483,29283,4708,13000,-648,-2148
01-May-23 18,31734,30552,46213,31013,2978,13000,461,-1039
08-May-23 19,32419,31237,46987,31787,2204,13000,550,-950
15-May-23 20,32885,31703,46987,31787,2204,13000,84,-1416
22-May-23 21,33266,32084,47177,31977,2014,13000,-107,-1607
29-May-23 22,33838,32657,47377,32177,1814,13000,-480,-1980
05-Jun-23 23,33444,32163,47229,32029,1962,13000,-134,-1634
12-Jun-23 24,33454,32173,47377,32177,1814,13000,4,-1496
19-Jun-23 25,33441,32160,47377,32177,1814,13000,17,-1483
26-Jun-23 26,33853,32572,47100,31900,2091,13000,-672,-2172
03-Jul-23 27,33675,32184,47967,32767,1224,13000,583,-917
10-Jul-23 28,33441,31950,48217,33017,974,13000,1067,-433
17-Jul-23 29,33806,32315,47970,32770,1221,13000,455,-1045
24-Jul-23 30,33869,32378,47622,32422,1569,13000,44,-1456
31-Jul-23 31,33172,31681,47047,31847,2144,13000,166,-1334
07-Aug-23 32,32921,31227,46407,31207,2784,13000,-20,-1520
14-Aug-23 33,32522,30828,45991,30791,3200,13000,-37,-1537
21-Aug-23 34,32669,30975,46229,31029,2962,13000,54,-1446
28-Aug-23 35,32154,30475,45984,30784,3207,13000,309,-1191
04-Sep-23 36,32329,30642,45334,30134,3857,13000,-508,-2008
11-Sep-23 37,32319,30633,46156,30956,3035,13000,323,-1177
18-Sep-23 38,31676,29989,45963,30763,3228,13000,774,-726
25-Sep-23 39,31623,29936,44925,29725,4266,13000,-211,-1711
02-Oct-23 40,31635,29659,44545,29345,4646,13000,-314,-1814
09-Oct-23 41,31372,29395,44635,29435,4556,13000,40,-1460
16-Oct-23 42,31286,29309,44351,29151,4840,13000,-158,-1658
23-Oct-23 43,30991,29015,43538,28338,5653,13000,-677,-2177
30-Oct-23 44,30837,28860,43708,28508,5483,13000,-352,-1852
06-Nov-23 45,30480,28381,43100,27900,6091,13000,-481,-1981
13-Nov-23 46,30439,28371,42359,27159,6832,13000,-1212,-2712
20-Nov-23 47,30288,28220,42756,27556,6435,13000,-664,-2164
27-Nov-23 48,30059,27991,42355,27155,6836,13000,-836,-2336
04-Dec-23 49,30063,27880,43132,27932,6059,13000,52,-1448
11-Dec-23 50,30109,27927,41939,26739,7252,13000,-1188,-2688
18-Dec-23 51,28935,26752,40390,25190,8801,13000,-1562,-3062
25-Dec-23 52,26312,24130,40190,24990,9001,13000,860,-640
01-Jan-24 1,27954,25810,41203,26003,7988,13000,193,-1307
08-Jan-24 2,29548,27404,41303,26103,7888,13000,-1301,-2801
15-Jan-24 3,30300,28156,42362,27162,6829,13000,-994,-2494
22-Jan-24 4,30273,28129,43230,28030,5961,13000,-99,-1599
29-Jan-24 5,30490,28346,43512,28312,5679,13000,-34,-1534
05-Feb-24 6,30730,28940,43121,27921,6070,13000,-1019,-2519
12-Feb-24 7,30854,29065,43268,28068,5923,13000,-997,-2497
