"",MW,MW,MW,MW,MW,MW,MW,MW
Week Start Week,RSA,Residual,Available,Available,Planned,Unplanned,Planned,Likely Risk
"",Contracted,Forecast,Dispatchable,Capacity (Less,Maintenance,Outage,Risk Level,Senario
"",Forecast,,Capacity,OR and UA),,Assumption (UA),(-14200 MW),(-16200 MW)
13-Dec-21 50,29040,26952,45272,31072,4318,12000,4119,2119
20-Dec-21 51,27779,25916,42063,27863,7527,12000,1947,-53
27-Dec-21 52,26429,24464,42627,28427,6963,12000,3963,1963
03-Jan-22 1,28421,26383,44442,30242,5148,12000,3858,1858
10-Jan-22 2,29331,27293,42183,27983,7407,12000,689,-1311
17-Jan-22 3,29520,27482,41701,27501,7889,12000,18,-1982
24-Jan-22 4,29909,27871,42421,28221,7169,12000,349,-1651
31-Jan-22 5,30027,27943,43027,28827,6563,12000,883,-1117
07-Feb-22 6,30298,28215,42716,28516,6874,12000,301,-1699
14-Feb-22 7,30353,28269,42540,28340,7050,12000,70,-1930
21-Feb-22 8,30233,28150,42928,28728,6662,12000,578,-1422
28-Feb-22 9,30608,28735,43452,29252,6138,12000,517,-1483
07-Mar-22 10,31098,29225,43676,29476,5914,12000,251,-1749
14-Mar-22 11,31249,29375,44007,29807,5583,12000,431,-1569
21-Mar-22 12,31216,29161,43432,29232,6158,12000,70,-1930
28-Mar-22 13,31470,29415,43301,29101,6289,12000,-314,-2314
04-Apr-22 14,31552,30175,44216,31016,5374,11000,841,-1159
11-Apr-22 15,31814,30437,44566,31366,5024,11000,929,-1071
18-Apr-22 16,32020,30642,45041,31841,4549,11000,1198,-802
25-Apr-22 17,32052,30674,44996,31796,4594,11000,1121,-879
02-May-22 18,32553,31122,45571,32371,4019,11000,1249,-751
09-May-22 19,33309,31878,46401,33201,3189,11000,1322,-678
16-May-22 20,33997,32566,46401,33201,3189,11000,634,-1366
23-May-22 21,33899,32468,46401,33201,3189,11000,733,-1267
30-May-22 22,35359,33928,46585,33385,3005,11000,-543,-2543
06-Jun-22 23,34352,32786,45797,32597,3793,11000,-189,-2189
13-Jun-22 24,34186,32620,45862,32662,3728,11000,42,-1958
20-Jun-22 25,34427,32861,45585,32385,4005,11000,-476,-2476
27-Jun-22 26,34450,32884,46142,32942,3448,11000,57,-1943
04-Jul-22 27,34574,33000,45925,32725,3665,11000,-276,-2276
11-Jul-22 28,34644,33071,46162,32962,3428,11000,-109,-2109
18-Jul-22 29,35023,33450,46162,32962,3428,11000,-488,-2488
25-Jul-22 30,34323,32750,46162,32962,3428,11000,212,-1788
01-Aug-22 31,33489,31924,45068,31868,4522,11000,-57,-2057
08-Aug-22 32,33039,31474,44384,31184,5206,11000,-290,-2290
15-Aug-22 33,33212,31647,44495,31295,5095,11000,-353,-2353
22-Aug-22 34,32861,31323,44685,31485,4905,11000,162,-1838
29-Aug-22 35,32397,30878,44296,31096,5294,11000,217,-1783
05-Sep-22 36,32729,30641,44215,31015,5375,11000,373,-1627
12-Sep-22 37,32971,30883,44442,31242,5148,11000,359,-1641
19-Sep-22 38,32359,30272,43805,30605,5785,11000,333,-1667
26-Sep-22 39,32080,29992,43349,30149,6241,11000,157,-1843
03-Oct-22 40,32414,30308,44096,30896,5494,11000,588,-1412
10-Oct-22 41,31774,29809,43327,30127,6263,11000,317,-1683
17-Oct-22 42,32028,30038,42986,29786,6604,11000,-252,-2252
24-Oct-22 43,31415,29451,42302,29102,7288,11000,-349,-2349
31-Oct-22 44,31472,29346,42168,28968,7422,11000,-379,-2379
07-Nov-22 45,31872,29689,42111,28911,7479,11000,-778,-2778
14-Nov-22 46,31613,29430,42311,29111,7279,11000,-320,-2320
21-Nov-22 47,31292,29109,42105,28905,7485,11000,-204,-2204
28-Nov-22 48,31035,28832,41600,28400,7990,11000,-432,-2432
05-Dec-22 49,31177,28837,42817,29617,6773,11000,780,-1220
12-Dec-22 50,30787,28446,41638,28438,7952,11000,-9,-2009
19-Dec-22 51,29472,27132,40103,26903,9487,11000,-229,-2229
