"",MW,MW,MW,MW,MW,MW,MW,MW
Week Start Week,RSA,Residual,Available,Available,Planned,Unplanned,Planned,Likely Risk
"",Contracted,Forecast,Dispatchable,Capacity (Less,Maintenance,Outage,Risk Level,Senario
"",Forecast,,Capacity,OR and UA),,Assumption (UA),(-14200 MW),(-16200 MW)
25-Jan-21 4,29015,27240,44438,30238,4213,12000,2997,997
01-Feb-21 5,29175,27471,40129,25929,8522,12000,-1542,-3542
08-Feb-21 6,29167,27674,41212,27012,7439,12000,-663,-2663
15-Feb-21 7,29501,28008,41093,26893,7558,12000,-1116,-3116
22-Feb-21 8,29491,27999,41340,27140,7311,12000,-860,-2860
01-Mar-21 9,29527,28097,41972,27772,6679,12000,-326,-2326
08-Mar-21 10,29517,28088,41907,27707,6744,12000,-381,-2381
15-Mar-21 11,29551,28121,41889,27689,6762,12000,-433,-2433
22-Mar-21 12,29709,28280,41737,27537,6914,12000,-743,-2743
29-Mar-21 13,29584,28154,42377,28177,6274,12000,22,-1978
05-Apr-21 14,29802,28692,42642,28442,6009,12000,-250,-2250
12-Apr-21 15,30288,29178,44027,29827,4624,12000,649,-1351
19-Apr-21 16,30628,29518,44027,29827,4624,12000,309,-1691
26-Apr-21 17,31885,30774,43770,29570,4881,12000,-1205,-3205
