"",MW,MW,MW,MW,MW,MW,MW,MW
Week Start Week,RSA,Residual,Available,Available,Planned,Unplanned,Planned,Likely Risk
"",Contracted,Forecast,Dispatchable,Capacity (Less,Maintenance,Outage,Risk Level,Senario
"",Forecast,,Capacity,OR and UA),,Assumption (UA),(-17200 MW),(-19200 MW)
04-Sep-23 36,31330,30017,43784,26584,5407,15000,-3433,-5433
11-Sep-23 37,31502,29530,45026,27826,4165,15000,-1704,-3704
18-Sep-23 38,31319,29632,44389,27189,4802,15000,-2444,-4444
25-Sep-23 39,30969,29282,44031,26831,5160,15000,-2452,-4452
02-Oct-23 40,30953,28976,43758,26558,5433,15000,-2419,-4419
09-Oct-23 41,30997,29039,43906,26706,5285,15000,-2333,-4333
16-Oct-23 42,30827,28850,44197,26997,4994,15000,-1854,-3854
23-Oct-23 43,30839,28862,43677,26477,5514,15000,-2386,-4386
30-Oct-23 44,30541,28474,43566,26366,5625,15000,-2108,-4108
06-Nov-23 45,30606,28538,43538,26338,5653,15000,-2200,-4200
13-Nov-23 46,30370,28302,44000,26800,5191,15000,-1502,-3502
20-Nov-23 47,30158,28090,43170,25970,6021,15000,-2120,-4120
27-Nov-23 48,30082,28014,42517,25317,6674,15000,-2698,-4698
04-Dec-23 49,30063,27880,42517,27317,6674,13000,-564,-2564
11-Dec-23 50,30109,27927,42492,27292,6699,13000,-635,-2635
18-Dec-23 51,28935,26752,42103,26903,7088,13000,151,-1849
25-Dec-23 52,26312,24130,39858,24658,9333,13000,528,-1472
01-Jan-24 1,27780,25636,40783,25583,8408,13000,-53,-2053
08-Jan-24 2,29422,27278,41965,26765,7226,13000,-514,-2514
15-Jan-24 3,29883,27739,42830,27630,6361,13000,-109,-2109
22-Jan-24 4,30203,28059,43010,27810,6181,13000,-250,-2250
29-Jan-24 5,30358,28214,42820,27620,6371,13000,-594,-2594
05-Feb-24 6,30700,28610,43270,28070,5921,13000,-540,-2540
12-Feb-24 7,30793,28704,43675,28475,5516,13000,-229,-2229
19-Feb-24 8,30724,28635,43030,27830,6161,13000,-805,-2805
26-Feb-24 9,30567,28477,43030,27830,6161,13000,-647,-2647
04-Mar-24 10,30918,28958,43693,28493,5498,13000,-466,-2466
11-Mar-24 11,30966,29006,43100,27900,6091,13000,-1106,-3106
18-Mar-24 12,30790,28807,43152,27952,6039,13000,-855,-2855
25-Mar-24 13,30764,28719,42767,27567,6424,13000,-1152,-3152
01-Apr-24 14,31151,29620,43902,28702,5289,13000,-919,-2919
08-Apr-24 15,31666,30135,44508,29308,4683,13000,-827,-2827
15-Apr-24 16,32015,30483,44858,29658,4333,13000,-826,-2826
22-Apr-24 17,32400,30869,45033,29833,4158,13000,-1036,-3036
29-Apr-24 18,32215,30877,45648,30448,3543,13000,-429,-2429
06-May-24 19,33020,31695,46241,31041,2950,13000,-654,-2654
13-May-24 20,33663,32338,46241,31041,2950,13000,-1297,-3297
20-May-24 21,33932,32607,46241,31041,2950,13000,-1566,-3566
27-May-24 22,34457,33131,47436,32236,1755,13000,-896,-2896
03-Jun-24 23,34299,32501,46929,31729,2262,13000,-773,-2773
10-Jun-24 24,34408,32610,46929,31729,2262,13000,-881,-2881
17-Jun-24 25,34302,32504,47504,32304,1687,13000,-201,-2201
24-Jun-24 26,34515,32717,47504,32304,1687,13000,-413,-2413
01-Jul-24 27,33834,32299,47414,32214,1777,13000,-86,-2086
08-Jul-24 28,34176,32642,47414,32214,1777,13000,-428,-2428
15-Jul-24 29,33948,32413,46784,31584,2407,13000,-830,-2830
22-Jul-24 30,34257,32722,47140,31940,2051,13000,-783,-2783
29-Jul-24 31,33502,31968,46555,31355,2636,13000,-613,-2613
05-Aug-24 32,33064,31447,45330,30130,3861,13000,-1318,-3318
12-Aug-24 33,32520,30903,45580,30380,3611,13000,-524,-2524
19-Aug-24 34,32414,30798,44802,29602,4389,13000,-1196,-3196
26-Aug-24 35,31943,30327,44700,29500,4491,13000,-827,-2827
02-Sep-24 36,32476,30789,45047,29847,4144,13000,-943,-2943
09-Sep-24 37,32413,30726,44599,29399,4592,13000,-1328,-3328
