"",MW,MW,MW,MW,MW,MW,MW,MW
Week Start Week,RSA,Residual,Available,Available,Planned,Unplanned,Planned,Likely Risk
"",Contracted,Forecast,Dispatchable,Capacity (Less,Maintenance,Outage,Risk Level,Senario
"",Forecast,,Capacity,OR and UA),,Assumption (UA),(-15200 MW),(-16700 MW)
20-Mar-23 12,30580,28298,42621,27421,6570,13000,-877,-2377
27-Mar-23 13,30250,28421,43981,28781,5210,13000,360,-1140
03-Apr-23 14,30423,28776,42526,27326,6665,13000,-1450,-2950
10-Apr-23 15,30876,29229,43246,28046,5945,13000,-1183,-2683
17-Apr-23 16,31228,29581,43981,28781,5210,13000,-800,-2300
24-Apr-23 17,31577,29931,44516,29316,4675,13000,-615,-2115
01-May-23 18,31824,30642,45056,29856,4135,13000,-786,-2286
08-May-23 19,32574,31392,45812,30612,3379,13000,-780,-2280
15-May-23 20,33166,31984,46584,31384,2607,13000,-600,-2100
22-May-23 21,33213,32031,47177,31977,2014,13000,-54,-1554
29-May-23 22,33681,32499,47377,32177,1814,13000,-322,-1822
05-Jun-23 23,33494,32213,47229,32029,1962,13000,-184,-1684
12-Jun-23 24,33454,32173,47377,32177,1814,13000,4,-1496
19-Jun-23 25,33441,32160,47377,32177,1814,13000,17,-1483
26-Jun-23 26,33853,32572,47100,31900,2091,13000,-672,-2172
03-Jul-23 27,33675,32184,46503,31303,2688,13000,-881,-2381
10-Jul-23 28,33441,31950,46753,31553,2438,13000,-397,-1897
17-Jul-23 29,33806,32315,46563,31363,2628,13000,-952,-2452
24-Jul-23 30,33869,32378,46215,31015,2976,13000,-1363,-2863
31-Jul-23 31,33172,31681,45640,30440,3551,13000,-1241,-2741
07-Aug-23 32,32921,31227,45924,30724,3267,13000,-503,-2003
14-Aug-23 33,32522,30828,45508,30308,3683,13000,-520,-2020
21-Aug-23 34,32669,30975,45746,30546,3445,13000,-429,-1929
28-Aug-23 35,32154,30475,45851,30651,3340,13000,176,-1324
04-Sep-23 36,32329,30642,45201,30001,3990,13000,-641,-2141
11-Sep-23 37,32319,30633,46023,30823,3168,13000,190,-1310
18-Sep-23 38,31676,29989,45773,30573,3418,13000,584,-916
25-Sep-23 39,31623,29936,44925,29725,4266,13000,-211,-1711
02-Oct-23 40,31635,29659,44545,29345,4646,13000,-314,-1814
09-Oct-23 41,31372,29395,44635,29435,4556,13000,40,-1460
16-Oct-23 42,31286,29309,44351,29151,4840,13000,-158,-1658
23-Oct-23 43,30991,29015,43538,28338,5653,13000,-677,-2177
30-Oct-23 44,30837,28860,43708,28508,5483,13000,-352,-1852
06-Nov-23 45,30480,28381,43100,27900,6091,13000,-481,-1981
13-Nov-23 46,30439,28371,42359,27159,6832,13000,-1212,-2712
20-Nov-23 47,30288,28220,42756,27556,6435,13000,-664,-2164
27-Nov-23 48,30059,27991,42355,27155,6836,13000,-836,-2336
04-Dec-23 49,30063,27880,43132,27932,6059,13000,52,-1448
11-Dec-23 50,30109,27927,41939,26739,7252,13000,-1188,-2688
18-Dec-23 51,28935,26752,40390,25190,8801,13000,-1562,-3062
25-Dec-23 52,26312,24130,40190,24990,9001,13000,860,-640
01-Jan-24 1,27954,25810,41203,26003,7988,13000,193,-1307
08-Jan-24 2,29548,27404,41303,26103,7888,13000,-1301,-2801
15-Jan-24 3,30300,28156,42362,27162,6829,13000,-994,-2494
22-Jan-24 4,30273,28129,43230,28030,5961,13000,-99,-1599
29-Jan-24 5,30490,28346,43512,28312,5679,13000,-34,-1534
05-Feb-24 6,31030,28940,43121,27921,6070,13000,-1019,-2519
12-Feb-24 7,31154,29065,43268,28068,5923,13000,-997,-2497
19-Feb-24 8,31289,29199,43763,28563,5428,13000,-636,-2136
26-Feb-24 9,31095,29006,43148,27948,6043,13000,-1058,-2558
04-Mar-24 10,31120,29552,44306,29106,4885,13000,-446,-1946
11-Mar-24 11,30804,29236,44563,29363,4628,13000,127,-1373
18-Mar-24 12,31048,29480,45476,30276,3715,13000,796,-704
