"",,MW,MW,MW,MW,MW,MW,MW,MW
Week Start,Week,"RSAContractedForecast","ResidualForecast","AvailableDispatchableCapacity","AvailableCapacity (LessOR and UA)","PlannedMaintenance","UnplannedOutageAssumption (UA)","PlannedRisk Level(-13200 MW)","Likely RiskSenario(-15200 MW)"
10-May-21,19,32189,31294,43762,30562,5829,11000,-733,-2733
17-May-21,20,32154,31150,44430,31230,5161,11000,79,-1921
24-May-21,21,32501,31479,45326,32126,4265,11000,647,-1353
31-May-21,22,32656,31633,46173,32973,3418,11000,1339,-661
07-Jun-21,23,32027,30897,45268,32068,4323,11000,1170,-830
14-Jun-21,24,32103,30973,44548,31348,5043,11000,374,-1626
21-Jun-21,25,32391,31261,46120,32920,3471,11000,1658,-342
28-Jun-21,26,32489,31359,45314,32114,4277,11000,754,-1246
05-Jul-21,27,32683,31560,46860,33660,2731,11000,2100,100
12-Jul-21,28,32480,31357,46860,33660,2731,11000,2302,302
19-Jul-21,29,32227,31104,47191,33991,2400,11000,2887,887
26-Jul-21,30,32144,31021,46860,33660,2731,11000,2639,639
02-Aug-21,31,33018,31572,45500,32300,4091,11000,727,-1273
09-Aug-21,32,32434,30988,45500,32300,4091,11000,1311,-689
16-Aug-21,33,32287,30841,45289,32089,4302,11000,1247,-753
23-Aug-21,34,31781,30335,44849,31649,4742,11000,1314,-686
30-Aug-21,35,32040,30594,45004,31804,4587,11000,1209,-791
06-Sep-21,36,31822,30317,44779,31579,4812,11000,1261,-739
13-Sep-21,37,31733,30228,44389,31189,5202,11000,960,-1040
20-Sep-21,38,31621,30117,44199,30999,5392,11000,882,-1118
27-Sep-21,39,31399,29895,44184,30984,5407,11000,1089,-911
04-Oct-21,40,31883,30007,43904,30704,5687,11000,696,-1304
11-Oct-21,41,31607,29782,43774,30574,5817,11000,792,-1208
18-Oct-21,42,31588,29763,43774,30574,5817,11000,810,-1190
25-Oct-21,43,31400,29575,43427,30227,6164,11000,652,-1348
01-Nov-21,44,31194,29066,43062,29862,6529,11000,796,-1204
08-Nov-21,45,31167,29038,43464,30264,6127,11000,1225,-775
15-Nov-21,46,31281,29153,43545,30345,6046,11000,1192,-808
22-Nov-21,47,31139,29010,42345,29145,7246,11000,134,-1866
29-Nov-21,48,30786,28674,42804,29604,6787,11000,929,-1071
06-Dec-21,49,30908,28807,42827,29627,6764,11000,820,-1180
13-Dec-21,50,30078,27977,42179,28979,7412,11000,1001,-999
20-Dec-21,51,28684,26583,41329,28129,8262,11000,1545,-455
27-Dec-21,52,27041,24940,41451,28251,8140,11000,3311,1311
03-Jan-22,1,29304,26817,41246,28046,8345,11000,1229,-771
10-Jan-22,2,30021,27824,41779,28579,7812,11000,754,-1246
17-Jan-22,3,30199,28002,41448,28248,8143,11000,245,-1755
24-Jan-22,4,30136,27940,43686,30486,5905,11000,2546,546
31-Jan-22,5,31053,28896,42932,29732,6659,11000,835,-1165
07-Feb-22,6,31542,29386,43547,30347,6044,11000,961,-1039
14-Feb-22,7,31517,29361,44063,30863,5528,11000,1502,-498
21-Feb-22,8,31330,29174,44017,30817,5574,11000,1643,-357
28-Feb-22,9,31272,29375,44131,30931,5460,11000,1556,-444
07-Mar-22,10,31598,29725,44656,31456,4935,11000,1731,-269
14-Mar-22,11,31415,29492,44656,31456,4935,11000,1963,-37
21-Mar-22,12,31216,29161,44185,30985,5406,11000,1823,-177
28-Mar-22,13,31470,29415,44896,31696,4695,11000,2281,281
04-Apr-22,14,31797,30416,45183,31983,4408,11000,1567,-433
11-Apr-22,15,32226,30845,44165,30965,5426,11000,120,-1880
18-Apr-22,16,32479,31098,42940,29740,6651,11000,-1359,-3359
25-Apr-22,17,32055,30674,43555,30355,6036,11000,-320,-2320
02-May-22,18,32895,31659,45892,32692,3699,11000,1032,-968
09-May-22,19,33602,32367,45892,32692,3699,11000,325,-1675
16-May-22,20,33977,32742,47587,34387,2004,11000,1644,-356
