"",MW,MW,MW,MW,MW,MW,MW,MW
Week Start Week,RSA,Residual,Available,Available,Planned,Unplanned,Planned,Likely Risk
"",Contracted,Forecast,Dispatchable,Capacity (Less,Maintenance,Outage,Risk Level,Senario
"",Forecast,,Capacity,OR and UA),,Assumption (UA),(-17200 MW),(-19200 MW)
05-Jun-23 23,32147,31100,47254,30054,1937,15000,-1046,-3046
12-Jun-23 24,32315,30977,46784,29584,2407,15000,-1394,-3394
19-Jun-23 25,32725,31445,46784,29584,2407,15000,-1861,-3861
26-Jun-23 26,33071,31790,46602,29402,2589,15000,-2389,-4389
03-Jul-23 27,33045,31554,46995,29795,2196,15000,-1759,-3759
10-Jul-23 28,33054,31563,47415,30215,1776,15000,-1348,-3348
17-Jul-23 29,33226,31735,47630,30430,1561,15000,-1305,-3305
24-Jul-23 30,33255,31764,47096,29896,2095,15000,-1869,-3869
31-Jul-23 31,32778,31279,47096,29896,2095,15000,-1383,-3383
07-Aug-23 32,32524,30830,46040,28840,3151,15000,-1991,-3991
14-Aug-23 33,31985,30292,45425,28225,3766,15000,-2067,-4067
21-Aug-23 34,32026,30347,45463,28263,3728,15000,-2084,-4084
28-Aug-23 35,31767,30088,45745,28545,3446,15000,-1543,-3543
04-Sep-23 36,32329,30642,45701,28501,3490,15000,-2142,-4142
11-Sep-23 37,32319,30633,45917,28717,3274,15000,-1916,-3916
18-Sep-23 38,31676,29989,45826,28626,3365,15000,-1363,-3363
25-Sep-23 39,31623,29936,45035,27835,4156,15000,-2102,-4102
02-Oct-23 40,31635,29659,45010,27810,4181,15000,-1849,-3849
09-Oct-23 41,31372,29395,45060,27860,4131,15000,-1535,-3535
16-Oct-23 42,31286,29309,45581,28381,3610,15000,-929,-2929
23-Oct-23 43,30991,29015,45258,28058,3933,15000,-957,-2957
30-Oct-23 44,30837,28860,44133,26933,5058,15000,-1928,-3928
06-Nov-23 45,30480,28381,44140,28940,5051,13000,559,-1441
13-Nov-23 46,30439,28371,43992,28792,5199,13000,421,-1579
20-Nov-23 47,30288,28220,43774,28574,5417,13000,353,-1647
27-Nov-23 48,30059,27991,42837,27637,6354,13000,-354,-2354
04-Dec-23 49,30063,27880,42692,27492,6499,13000,-389,-2389
11-Dec-23 50,30109,27927,42882,27682,6309,13000,-245,-2245
18-Dec-23 51,28935,26752,42668,27468,6523,13000,716,-1284
25-Dec-23 52,26312,24130,39611,24411,9580,13000,281,-1719
01-Jan-24 1,27780,25636,40536,25336,8655,13000,-300,-2300
08-Jan-24 2,29422,27278,42218,27018,6973,13000,-261,-2261
15-Jan-24 3,29883,27739,42583,27383,6608,13000,-356,-2356
22-Jan-24 4,30203,28059,42435,27235,6756,13000,-825,-2825
29-Jan-24 5,30358,28214,43155,27955,6036,13000,-259,-2259
05-Feb-24 6,30700,28610,44001,28801,5190,13000,191,-1809
12-Feb-24 7,30793,28704,44148,28948,5043,13000,244,-1756
19-Feb-24 8,30724,28635,43508,28308,5683,13000,-327,-2327
26-Feb-24 9,30567,28477,43508,28308,5683,13000,-169,-2169
04-Mar-24 10,30918,28958,44171,28971,5020,13000,12,-1988
11-Mar-24 11,30966,29006,43916,28716,5275,13000,-290,-2290
18-Mar-24 12,30790,28807,44626,29426,4565,13000,619,-1381
25-Mar-24 13,30764,28719,43601,28401,5590,13000,-318,-2318
