"",MW,MW,MW,MW,MW,MW,MW,MW
Week Start Week,RSA,Residual,Available,Available,Planned,Unplanned,Planned,Likely Risk
"",Contracted,Forecast,Dispatchable,Capacity (Less,Maintenance,Outage,Risk Level,Senario
"",Forecast,,Capacity,OR and UA),,Assumption (UA),(-15200 MW),(-17200 MW)
05-Sep-22 36,31202,29407,44379,29179,5646,13000,-228,-2228
12-Sep-22 37,30734,28667,43084,27884,6941,13000,-783,-2783
19-Sep-22 38,31227,29140,43287,28087,6738,13000,-1053,-3053
26-Sep-22 39,31491,29403,43714,28514,6311,13000,-889,-2889
03-Oct-22 40,31580,29475,43221,28021,6804,13000,-1454,-3454
10-Oct-22 41,31429,29325,43514,28314,6511,13000,-1011,-3011
17-Oct-22 42,31228,29242,43523,28323,6502,13000,-920,-2920
24-Oct-22 43,31066,29102,43677,28477,6348,13000,-625,-2625
31-Oct-22 44,30831,28867,42438,27238,7587,13000,-1629,-3629
07-Nov-22 45,31255,29072,42755,27555,7270,13000,-1517,-3517
14-Nov-22 46,31172,28989,43416,28216,6609,13000,-773,-2773
21-Nov-22 47,30803,28621,42314,27114,7711,13000,-1507,-3507
28-Nov-22 48,30591,28409,42666,27466,7359,13000,-943,-2943
05-Dec-22 49,31023,28837,42899,27699,7126,13000,-1138,-3138
12-Dec-22 50,30633,28446,42191,26991,7834,13000,-1455,-3455
19-Dec-22 51,29318,27132,41266,26066,8759,13000,-1066,-3066
26-Dec-22 52,26867,24680,40176,24976,9849,13000,296,-1704
02-Jan-23 1,28588,26066,41381,26181,8644,13000,115,-1885
09-Jan-23 2,29704,27670,42053,26853,7972,13000,-817,-2817
16-Jan-23 3,30496,28461,41793,26593,8232,13000,-1868,-3868
23-Jan-23 4,30174,28139,41963,26763,8062,13000,-1376,-3376
30-Jan-23 5,30383,28349,42180,26980,7845,13000,-1369,-3369
06-Feb-23 6,30997,29208,43324,28124,6701,13000,-1084,-3084
13-Feb-23 7,30835,29045,43124,27924,6901,13000,-1121,-3121
20-Feb-23 8,30909,29119,42646,27446,7379,13000,-1673,-3673
27-Feb-23 9,30721,29153,43291,28091,6734,13000,-1062,-3062
06-Mar-23 10,31153,29585,43775,28575,6250,13000,-1010,-3010
13-Mar-23 11,30805,29237,43923,28723,6102,13000,-514,-2514
20-Mar-23 12,31014,29366,43941,28741,6084,13000,-625,-2625
27-Mar-23 13,30853,29206,43751,28551,6274,13000,-655,-2655
03-Apr-23 14,32219,30573,45246,30046,4779,13000,-527,-2527
10-Apr-23 15,32493,30846,45931,30731,4094,13000,-115,-2115
17-Apr-23 16,32984,31338,45931,30731,4094,13000,-607,-2607
24-Apr-23 17,33668,32021,46526,31326,3499,13000,-695,-2695
01-May-23 18,33601,32419,47101,31901,2924,13000,-518,-2518
08-May-23 19,34531,33349,47741,32541,2284,13000,-808,-2808
15-May-23 20,34704,33522,47931,32731,2094,13000,-791,-2791
22-May-23 21,35031,33849,48131,32931,1894,13000,-918,-2918
29-May-23 22,35849,34667,48074,32874,1951,13000,-1793,-3793
05-Jun-23 23,35053,33773,47726,32526,2299,13000,-1247,-3247
12-Jun-23 24,35055,33774,47874,32674,2151,13000,-1100,-3100
19-Jun-23 25,34886,33605,47874,32674,2151,13000,-931,-2931
26-Jun-23 26,35391,34110,48328,33128,1697,13000,-982,-2982
03-Jul-23 27,35153,33662,47201,32001,2824,13000,-1661,-3661
10-Jul-23 28,35127,33636,47201,32001,2824,13000,-1635,-3635
17-Jul-23 29,35242,33751,47201,32001,2824,13000,-1750,-3750
24-Jul-23 30,35288,33797,47258,32058,2767,13000,-1739,-3739
31-Jul-23 31,34476,32985,47315,32115,2710,13000,-870,-2870
07-Aug-23 32,34154,32460,46818,31618,3207,13000,-842,-2842
14-Aug-23 33,33807,32114,46237,31037,3788,13000,-1077,-3077
21-Aug-23 34,33730,32037,46089,30889,3936,13000,-1148,-3148
28-Aug-23 35,33641,31961,45884,30684,4141,13000,-1277,-3277
04-Sep-23 36,33879,31791,46095,30895,3930,13000,-896,-2896
11-Sep-23 37,33528,31440,46830,31630,3195,13000,190,-1810
