"",MW,MW,MW,MW,MW,MW,MW,MW
Week Start Week,RSA,Residual,Available,Available,Planned,Unplanned,Planned,Likely Risk
"",Contracted,Forecast,Dispatchable,Capacity (Less,Maintenance,Outage,Risk Level,Senario
"",Forecast,,Capacity,OR and UA),,Assumption (UA),(-14200 MW),(-16200 MW)
28-Mar-22 13,29995,28473,42165,27965,7425,12000,-508,-2508
04-Apr-22 14,30106,28750,42940,28740,6650,12000,-11,-2011
11-Apr-22 15,30479,29186,43136,28936,6454,12000,-251,-2251
18-Apr-22 16,30851,29558,44226,30026,5364,12000,467,-1533
25-Apr-22 17,31118,29824,44266,30066,5324,12000,241,-1759
02-May-22 18,32110,30771,44651,30451,4939,12000,-321,-2321
09-May-22 19,32204,30865,45261,31061,4329,12000,195,-1805
16-May-22 20,32686,31347,45386,31186,4204,12000,-161,-2161
23-May-22 21,33244,31905,46051,31851,3539,12000,-54,-2054
30-May-22 22,34575,33236,46092,31892,3498,12000,-1344,-3344
06-Jun-22 23,33852,32337,45762,31562,3828,12000,-776,-2776
13-Jun-22 24,33755,32240,45910,31710,3680,12000,-531,-2531
20-Jun-22 25,33577,32063,46135,31935,3455,12000,-128,-2128
27-Jun-22 26,34399,32884,46109,31909,3481,12000,-976,-2976
04-Jul-22 27,34574,33000,46166,31966,3424,12000,-1035,-3035
11-Jul-22 28,34644,33071,46109,31909,3481,12000,-1162,-3162
18-Jul-22 29,35023,33450,46352,32152,3238,12000,-1298,-3298
25-Jul-22 30,34323,32750,46542,32342,3048,12000,-408,-2408
01-Aug-22 31,33489,31924,45258,31058,4332,12000,-867,-2867
08-Aug-22 32,33039,31474,44517,30317,5073,12000,-1157,-3157
15-Aug-22 33,33212,31647,44518,30318,5072,12000,-1330,-3330
22-Aug-22 34,32861,31323,44855,30655,4735,12000,-668,-2668
29-Aug-22 35,32397,30878,44098,29898,5492,12000,-981,-2981
05-Sep-22 36,32729,30641,44158,28958,5432,13000,-1684,-3684
12-Sep-22 37,32971,30883,43830,28630,5760,13000,-2253,-4253
19-Sep-22 38,32359,30272,43193,27993,6397,13000,-2279,-4279
26-Sep-22 39,32080,29992,43349,28149,6241,13000,-1843,-3843
03-Oct-22 40,32414,30308,44126,28926,5464,13000,-1382,-3382
10-Oct-22 41,31774,29809,43549,28349,6041,13000,-1461,-3461
17-Oct-22 42,32028,30038,43797,28597,5793,13000,-1441,-3441
24-Oct-22 43,31415,29451,43261,28061,6329,13000,-1390,-3390
31-Oct-22 44,31472,29346,42407,27207,7183,13000,-2140,-4140
07-Nov-22 45,31872,29689,41757,26557,7833,13000,-3132,-5132
14-Nov-22 46,31613,29430,42402,27202,7188,13000,-2229,-4229
21-Nov-22 47,31292,29109,42048,26848,7542,13000,-2261,-4261
28-Nov-22 48,31015,28832,41395,26195,8195,13000,-2637,-4637
05-Dec-22 49,31023,28837,42760,27560,6830,13000,-1277,-3277
12-Dec-22 50,30633,28446,41729,26529,7861,13000,-1918,-3918
19-Dec-22 51,29318,27132,40194,24994,9396,13000,-2138,-4138
26-Dec-22 52,26867,24680,40274,25074,9316,13000,393,-1607
02-Jan-23 1,28588,26066,40274,25074,9316,13000,-993,-2993
09-Jan-23 2,29704,27670,40989,25789,8601,13000,-1881,-3881
16-Jan-23 3,30496,28461,40980,25780,8610,13000,-2682,-4682
23-Jan-23 4,30174,28139,41205,26005,8385,13000,-2135,-4135
30-Jan-23 5,30383,28349,41065,25865,8525,13000,-2484,-4484
06-Feb-23 6,30997,29208,41798,26598,7792,13000,-2610,-4610
13-Feb-23 7,30835,29045,41598,26398,7992,13000,-2648,-4648
20-Feb-23 8,30909,29119,42390,27190,7200,13000,-1930,-3930
27-Feb-23 9,31026,29153,42152,26952,7438,13000,-2201,-4201
06-Mar-23 10,31458,29585,42581,27381,7009,13000,-2204,-4204
13-Mar-23 11,31111,29237,43137,27937,6453,13000,-1301,-3301
20-Mar-23 12,31424,29366,42417,27217,7173,13000,-2150,-4150
27-Mar-23 13,31263,29206,42992,27792,6598,13000,-1414,-3414
03-Apr-23 14,31950,30573,41805,27605,7785,12000,-2968,-4968
