"",MW,MW,MW,MW,MW,MW,MW,MW
Week Start Week,RSA,Residual,Available,Available,Planned,Unplanned,Planned,Likely Risk
"",Contracted,Forecast,Dispatchable,Capacity (Less,Maintenance,Outage,Risk Level,Senario
"",Forecast,,Capacity,OR and UA),,Assumption (UA),(-14200 MW),(-16200 MW)
24-Jan-22 4,29556,27592,41679,27479,7911,12000,-113,-2113
31-Jan-22 5,29637,27889,41966,27766,7624,12000,-124,-2124
07-Feb-22 6,29810,27727,42824,28624,6766,12000,896,-1104
14-Feb-22 7,30099,28015,42580,28380,7010,12000,364,-1636
21-Feb-22 8,30243,28160,43118,28918,6472,12000,757,-1243
28-Feb-22 9,30232,28359,42935,28735,6655,12000,375,-1625
07-Mar-22 10,30299,28425,43752,29552,5838,12000,1126,-874
14-Mar-22 11,30620,28747,44197,29997,5393,12000,1249,-751
21-Mar-22 12,30886,28831,43474,29274,6116,12000,443,-1557
28-Mar-22 13,30854,28799,43343,29143,6247,12000,344,-1656
04-Apr-22 14,30630,29253,43743,30543,5847,11000,1289,-711
11-Apr-22 15,30692,29314,44476,31276,5114,11000,1961,-39
18-Apr-22 16,31272,29894,44476,31276,5114,11000,1381,-619
25-Apr-22 17,32052,30674,44621,31421,4969,11000,746,-1254
02-May-22 18,32553,31122,45196,31996,4394,11000,874,-1126
09-May-22 19,33309,31878,46591,33391,2999,11000,1512,-488
16-May-22 20,33997,32566,46591,33391,2999,11000,824,-1176
23-May-22 21,33899,32468,46591,33391,2999,11000,923,-1077
30-May-22 22,35359,33928,46775,33575,2815,11000,-353,-2353
06-Jun-22 23,34352,32786,46100,32900,3490,11000,114,-1886
13-Jun-22 24,34186,32620,45507,32307,4083,11000,-313,-2313
20-Jun-22 25,34427,32861,45377,32177,4213,11000,-684,-2684
27-Jun-22 26,34450,32884,46142,32942,3448,11000,57,-1943
04-Jul-22 27,34574,33000,46072,32872,3518,11000,-129,-2129
11-Jul-22 28,34644,33071,46162,32962,3428,11000,-109,-2109
18-Jul-22 29,35023,33450,46162,32962,3428,11000,-488,-2488
25-Jul-22 30,34323,32750,46352,33152,3238,11000,402,-1598
01-Aug-22 31,33489,31924,45068,31868,4522,11000,-57,-2057
08-Aug-22 32,33039,31474,44384,31184,5206,11000,-290,-2290
15-Aug-22 33,33212,31647,43920,30720,5670,11000,-928,-2928
22-Aug-22 34,32861,31323,44110,30910,5480,11000,-413,-2413
29-Aug-22 35,32397,30878,44296,31096,5294,11000,217,-1783
05-Sep-22 36,32729,30641,44215,30015,5375,12000,-627,-2627
12-Sep-22 37,32971,30883,44442,30242,5148,12000,-641,-2641
19-Sep-22 38,32359,30272,43805,29605,5785,12000,-667,-2667
26-Sep-22 39,32080,29992,43349,29149,6241,12000,-843,-2843
03-Oct-22 40,32414,30308,43846,29646,5744,12000,-662,-2662
10-Oct-22 41,31774,29809,43327,29127,6263,12000,-683,-2683
17-Oct-22 42,32028,30038,43077,28877,6513,12000,-1161,-3161
24-Oct-22 43,31415,29451,42393,28193,7197,12000,-1258,-3258
31-Oct-22 44,31472,29346,42259,28059,7331,12000,-1288,-3288
07-Nov-22 45,31872,29689,42202,28002,7388,12000,-1687,-3687
14-Nov-22 46,31613,29430,42402,28202,7188,12000,-1229,-3229
21-Nov-22 47,31292,29109,42196,27996,7394,12000,-1113,-3113
28-Nov-22 48,31015,28832,41691,27491,7899,12000,-1341,-3341
05-Dec-22 49,31026,28837,42908,28708,6682,12000,-129,-2129
12-Dec-22 50,30635,28446,41729,27529,7861,12000,-918,-2918
19-Dec-22 51,29321,27132,40194,25994,9396,12000,-1138,-3138
26-Dec-22 52,26869,24680,40274,26074,9316,12000,1393,-607
