"",MW,MW,MW,MW,MW,MW,MW,MW
Week Start Week,RSA,Residual,Available,Available,Planned,Unplanned,Planned,Likely Risk
"",Contracted,Forecast,Dispatchable,Capacity (Less,Maintenance,Outage,Risk Level,Senario
"",Forecast,,Capacity,OR and UA),,Assumption (UA),(-14200 MW),(-16200 MW)
04-Jul-22 27,33451,32576,45081,30881,4944,12000,-1695,-3695
11-Jul-22 28,33324,31989,44784,30584,5241,12000,-1405,-3405
18-Jul-22 29,33839,32316,45857,31657,4168,12000,-659,-2659
25-Jul-22 30,33642,32120,46544,32344,3481,12000,224,-1776
01-Aug-22 31,32944,31379,45733,31533,4292,12000,154,-1846
08-Aug-22 32,32795,31230,45175,30975,4850,12000,-255,-2255
15-Aug-22 33,32233,30668,44825,30625,5200,12000,-43,-2043
22-Aug-22 34,31879,30314,44916,30716,5109,12000,402,-1598
29-Aug-22 35,32515,30427,44536,30336,5489,12000,-91,-2091
05-Sep-22 36,32574,30486,44446,29246,5579,13000,-1240,-3240
12-Sep-22 37,32098,30010,44131,28931,5894,13000,-1079,-3079
19-Sep-22 38,31704,29616,43751,28551,6274,13000,-1065,-3065
26-Sep-22 39,31491,29403,44074,28874,5951,13000,-529,-2529
03-Oct-22 40,32414,30308,44941,29741,5084,13000,-567,-2567
10-Oct-22 41,31774,29809,43391,28191,6634,13000,-1618,-3618
17-Oct-22 42,32028,30038,44131,28931,5894,13000,-1107,-3107
24-Oct-22 43,31415,29451,43179,27979,6846,13000,-1472,-3472
31-Oct-22 44,31472,29346,43145,27945,6880,13000,-1401,-3401
07-Nov-22 45,31872,29689,43019,27819,7006,13000,-1870,-3870
14-Nov-22 46,31613,29430,42999,27799,7026,13000,-1631,-3631
21-Nov-22 47,31292,29109,42732,27532,7293,13000,-1577,-3577
28-Nov-22 48,31015,28832,41934,26734,8091,13000,-2097,-4097
05-Dec-22 49,31023,28837,42346,27146,7679,13000,-1690,-3690
12-Dec-22 50,30633,28446,42813,27613,7212,13000,-833,-2833
19-Dec-22 51,29318,27132,42684,27484,7341,13000,352,-1648
26-Dec-22 52,26867,24680,39805,24605,10220,13000,-75,-2075
02-Jan-23 1,28588,26066,40380,25180,9645,13000,-886,-2886
09-Jan-23 2,29704,27670,42178,26978,7847,13000,-692,-2692
16-Jan-23 3,30496,28461,42541,27341,7484,13000,-1120,-3120
23-Jan-23 4,30174,28139,41948,26748,8077,13000,-1391,-3391
30-Jan-23 5,30383,28349,41998,26798,8027,13000,-1551,-3551
06-Feb-23 6,30997,29208,42570,27370,7455,13000,-1838,-3838
13-Feb-23 7,30835,29045,42370,27170,7655,13000,-1875,-3875
20-Feb-23 8,30909,29119,42427,27227,7598,13000,-1892,-3892
27-Feb-23 9,30721,29153,43105,27905,6920,13000,-1248,-3248
06-Mar-23 10,31153,29585,43924,28724,6101,13000,-861,-2861
13-Mar-23 11,30805,29237,43940,28740,6085,13000,-497,-2497
20-Mar-23 12,31014,29366,43900,28700,6125,13000,-666,-2666
27-Mar-23 13,30853,29206,43260,28060,6765,13000,-1146,-3146
03-Apr-23 14,32219,30573,44888,30688,5137,12000,115,-1885
10-Apr-23 15,32493,30846,45238,31038,4787,12000,192,-1808
17-Apr-23 16,32984,31338,45999,31799,4026,12000,461,-1539
24-Apr-23 17,33668,32021,45999,31799,4026,12000,-222,-2222
01-May-23 18,33601,32419,46716,32516,3309,12000,97,-1903
08-May-23 19,34531,33349,47356,33156,2669,12000,-193,-2193
15-May-23 20,34704,33522,47931,33731,2094,12000,209,-1791
22-May-23 21,35031,33849,48131,33931,1894,12000,82,-1918
29-May-23 22,35849,34667,48074,33874,1951,12000,-793,-2793
05-Jun-23 23,35053,33773,47578,33378,2447,12000,-395,-2395
12-Jun-23 24,35055,33774,48093,33893,1932,12000,119,-1881
19-Jun-23 25,34886,33605,48046,33846,1979,12000,241,-1759
26-Jun-23 26,35391,34110,48343,34143,1682,12000,33,-1967
03-Jul-23 27,35235,33662,47897,33697,2128,12000,35,-1965
10-Jul-23 28,35209,33636,47866,33666,2159,12000,30,-1970
