"",MW,MW,MW,MW,MW,MW,MW,MW
Week Start Week,RSA,Residual,Available,Available,Planned,Unplanned,Planned,Likely Risk
"",Contracted,Forecast,Dispatchable,Capacity (Less,Maintenance,Outage,Risk Level,Senario
"",Forecast,,Capacity,OR and UA),,Assumption (UA),(-13200 MW),(-15200 MW)
12-Jul-21 28,33642,32074,45841,32641,3755,11000,567,-1433
19-Jul-21 29,32805,31242,46134,32934,3462,11000,1691,-309
26-Jul-21 30,32315,31191,45342,32142,4254,11000,950,-1050
02-Aug-21 31,32180,30734,45197,31997,4399,11000,1263,-737
09-Aug-21 32,31880,30434,44723,31523,4873,11000,1088,-912
16-Aug-21 33,31977,30531,45214,32014,4382,11000,1483,-517
23-Aug-21 34,31492,30046,43728,30528,5868,11000,482,-1518
30-Aug-21 35,32192,30746,45301,32101,4295,11000,1355,-645
06-Sep-21 36,31703,30199,44002,30802,5594,11000,603,-1397
13-Sep-21 37,31415,29910,44722,31522,4874,11000,1612,-388
20-Sep-21 38,31114,29609,44532,31332,5064,11000,1722,-278
27-Sep-21 39,30989,29485,44117,30917,5479,11000,1432,-568
04-Oct-21 40,31472,29597,45190,31990,4406,11000,2393,393
11-Oct-21 41,31607,29782,43693,30493,5903,11000,711,-1289
18-Oct-21 42,31588,29763,43690,30490,5906,11000,726,-1274
25-Oct-21 43,31400,29575,43572,30372,6024,11000,797,-1203
01-Nov-21 44,31194,29066,43442,30242,6154,11000,1176,-824
08-Nov-21 45,31167,29038,43964,30764,5632,11000,1725,-275
15-Nov-21 46,31281,29153,44930,31730,4666,11000,2577,577
22-Nov-21 47,31139,29010,43637,30437,5959,11000,1426,-574
29-Nov-21 48,30786,28674,44203,31003,5393,11000,2328,328
06-Dec-21 49,30908,28807,44243,31043,5353,11000,2236,236
13-Dec-21 50,30078,27977,43152,29952,6444,11000,1974,-26
20-Dec-21 51,28684,26583,43110,29910,6486,11000,3326,1326
27-Dec-21 52,27041,24940,44080,30880,5516,11000,5940,3940
03-Jan-22 1,29053,26537,43553,30353,6043,11000,3816,1816
10-Jan-22 2,29675,27479,42168,28968,7428,11000,1489,-511
17-Jan-22 3,30014,27818,42807,29607,6789,11000,1789,-211
24-Jan-22 4,30149,27953,42659,29459,6937,11000,1506,-494
31-Jan-22 5,30660,28504,43203,30003,6393,11000,1498,-502
07-Feb-22 6,31070,28914,43236,30036,6360,11000,1122,-878
14-Feb-22 7,31222,29066,43557,30357,6039,11000,1291,-709
21-Feb-22 8,31028,28872,42899,29699,6697,11000,827,-1173
28-Feb-22 9,31137,29264,43473,30273,6123,11000,1008,-992
07-Mar-22 10,31398,29525,44203,31003,5393,11000,1478,-522
14-Mar-22 11,31249,29375,43323,30123,6273,11000,747,-1253
21-Mar-22 12,31216,29161,43654,30454,5942,11000,1292,-708
28-Mar-22 13,31470,29415,43907,30707,5689,11000,1292,-708
04-Apr-22 14,31552,30175,44586,31386,5010,11000,1211,-789
11-Apr-22 15,31814,30437,44373,31173,5223,11000,736,-1264
18-Apr-22 16,32020,30642,44508,31308,5088,11000,665,-1335
25-Apr-22 17,32052,30674,44508,31308,5088,11000,633,-1367
02-May-22 18,32553,31122,45562,32362,4034,11000,1240,-760
09-May-22 19,33309,31878,45752,32552,3844,11000,673,-1327
16-May-22 20,33997,32566,46682,33482,2914,11000,915,-1085
23-May-22 21,33899,32468,46682,33482,2914,11000,1014,-986
30-May-22 22,35359,33928,47150,33950,2446,11000,22,-1978
06-Jun-22 23,34352,32786,45835,32635,3761,11000,-151,-2151
13-Jun-22 24,34186,32620,45966,32766,3630,11000,146,-1854
20-Jun-22 25,34427,32861,46027,32827,3569,11000,-34,-2034
27-Jun-22 26,34450,32884,46174,32974,3422,11000,89,-1911
04-Jul-22 27,34404,33000,46897,33697,2699,11000,696,-1304
11-Jul-22 28,34474,33071,46189,32989,3407,11000,-82,-2082
18-Jul-22 29,34853,33450,46189,32989,3407,11000,-461,-2461
