"",MW,MW,MW,MW,MW,MW,MW,MW
Week Start Week,RSA,Residual,Available,Available,Planned,Unplanned,Planned,Likely Risk
"",Contracted,Forecast,Dispatchable,Capacity (Less,Maintenance,Outage,Risk Level,Senario
"",Forecast,,Capacity,OR and UA),,Assumption (UA),(-13200 MW),(-15200 MW)
14-Jun-21 24,33383,32384,45853,32653,3743,11000,268,-1732
21-Jun-21 25,33813,31893,45725,32525,3871,11000,632,-1368
28-Jun-21 26,32586,31457,45487,32287,4109,11000,830,-1170
05-Jul-21 27,32625,31502,46059,32859,3537,11000,1356,-644
12-Jul-21 28,32882,31758,46865,33665,2731,11000,1906,-94
19-Jul-21 29,32839,31716,47196,33996,2400,11000,2280,280
26-Jul-21 30,32543,31419,46290,33090,3306,11000,1670,-330
02-Aug-21 31,32024,30578,45505,32305,4091,11000,1726,-274
09-Aug-21 32,31801,30355,45505,32305,4091,11000,1950,-50
16-Aug-21 33,31876,30430,45243,32043,4353,11000,1613,-387
23-Aug-21 34,31329,29883,44529,31329,5067,11000,1445,-555
30-Aug-21 35,31634,30188,45404,32204,4192,11000,2015,15
06-Sep-21 36,31452,29947,45147,31947,4449,11000,1999,-1
13-Sep-21 37,31733,30228,44957,31757,4639,11000,1528,-472
20-Sep-21 38,31621,30117,45342,32142,4254,11000,2025,25
27-Sep-21 39,31399,29895,44187,30987,5409,11000,1092,-908
04-Oct-21 40,31883,30007,44537,31337,5059,11000,1329,-671
11-Oct-21 41,31607,29782,43497,30297,6099,11000,515,-1485
18-Oct-21 42,31588,29763,44029,30829,5567,11000,1065,-935
25-Oct-21 43,31400,29575,43921,30721,5675,11000,1146,-854
01-Nov-21 44,31194,29066,43306,30106,6290,11000,1040,-960
08-Nov-21 45,31167,29038,43307,30107,6289,11000,1068,-932
15-Nov-21 46,31281,29153,45239,32039,4357,11000,2886,886
22-Nov-21 47,31139,29010,43904,30704,5692,11000,1693,-307
29-Nov-21 48,30786,28674,42744,29544,6852,11000,869,-1131
06-Dec-21 49,30908,28807,43549,30349,6047,11000,1542,-458
13-Dec-21 50,30078,27977,42006,28806,7590,11000,828,-1172
20-Dec-21 51,28684,26583,41241,28041,8355,11000,1457,-543
27-Dec-21 52,27041,24940,41491,28291,8105,11000,3351,1351
03-Jan-22 1,29304,26817,41874,28674,7722,11000,1857,-143
10-Jan-22 2,30021,27824,41733,28533,7863,11000,708,-1292
17-Jan-22 3,30199,28002,42372,29172,7224,11000,1169,-831
24-Jan-22 4,30136,27940,43012,29812,6584,11000,1872,-128
31-Jan-22 5,31053,28896,42833,29633,6763,11000,736,-1264
07-Feb-22 6,31542,29386,43448,30248,6148,11000,862,-1138
14-Feb-22 7,31517,29361,43769,30569,5827,11000,1208,-792
21-Feb-22 8,31330,29174,43813,30613,5783,11000,1439,-561
28-Feb-22 9,31272,29375,43927,30727,5669,11000,1352,-648
07-Mar-22 10,31598,29725,43557,30357,6039,11000,632,-1368
14-Mar-22 11,31415,29492,43732,30532,5864,11000,1039,-961
21-Mar-22 12,31216,29161,43261,30061,6335,11000,899,-1101
28-Mar-22 13,31470,29415,44181,30981,5415,11000,1566,-434
04-Apr-22 14,31793,30416,45188,31988,4408,11000,1572,-428
11-Apr-22 15,32222,30845,44170,30970,5426,11000,125,-1875
18-Apr-22 16,32476,31098,42945,29745,6651,11000,-1354,-3354
25-Apr-22 17,32052,30674,43560,30360,6036,11000,-315,-2315
02-May-22 18,33091,31659,45897,32697,3699,11000,1037,-963
09-May-22 19,33798,32367,45897,32697,3699,11000,330,-1670
16-May-22 20,34173,32742,46872,33672,2724,11000,929,-1071
23-May-22 21,34752,33321,46487,33287,3109,11000,-35,-2035
30-May-22 22,35718,34287,47127,33927,2469,11000,-360,-2360
06-Jun-22 23,34646,33256,46407,33207,3189,11000,-49,-2049
13-Jun-22 24,34034,32644,47258,34058,2338,11000,1414,-586
20-Jun-22 25,34591,33201,47661,34461,1935,11000,1260,-740
