"",MW,MW,MW,MW,MW,MW,MW,MW
Week Start Week,RSA,Residual,Available,Available,Planned,Unplanned,Planned,Likely Risk
"",Contracted,Forecast,Dispatchable,Capacity (Less,Maintenance,Outage,Risk Level,Senario
"",Forecast,,Capacity,OR and UA),,Assumption (UA),(-13200 MW),(-15200 MW)
26-Apr-21 17,31606,30163,45480,32280,4111,11000,2116,116
03-May-21 18,31634,30652,44311,31111,5280,11000,458,-1542
10-May-21 19,31675,30653,44692,31492,4899,11000,839,-1161
17-May-21 20,31767,30745,45011,31811,4580,11000,1066,-934
24-May-21 21,32462,31439,45446,32246,4145,11000,806,-1194
31-May-21 22,32236,31214,45950,32750,3641,11000,1536,-464
07-Jun-21 23,32027,30897,44683,31483,4908,11000,585,-1415
14-Jun-21 24,32103,30973,44548,31348,5043,11000,374,-1626
21-Jun-21 25,32391,31261,46120,32920,3471,11000,1658,-342
28-Jun-21 26,32489,31359,45314,32114,4277,11000,754,-1246
05-Jul-21 27,32683,31560,46670,33470,2921,11000,1910,-90
12-Jul-21 28,32813,31690,46670,33470,2921,11000,1779,-221
19-Jul-21 29,32580,31457,47001,33801,2590,11000,2344,344
26-Jul-21 30,33824,32701,46670,33470,2921,11000,768,-1232
02-Aug-21 31,33018,31572,45500,32300,4091,11000,727,-1273
09-Aug-21 32,32434,30988,45310,32110,4281,11000,1121,-879
16-Aug-21 33,32287,30841,45099,31899,4492,11000,1057,-943
23-Aug-21 34,31781,30335,44659,31459,4932,11000,1124,-876
30-Aug-21 35,32040,30594,44814,31614,4777,11000,1019,-981
06-Sep-21 36,31822,30317,44779,31579,4812,11000,1261,-739
13-Sep-21 37,31733,30228,44204,31004,5387,11000,775,-1225
20-Sep-21 38,31621,30117,44204,31004,5387,11000,887,-1113
27-Sep-21 39,31399,29895,43999,30799,5592,11000,904,-1096
04-Oct-21 40,31883,30007,43904,30704,5687,11000,696,-1304
11-Oct-21 41,31607,29782,43774,30574,5817,11000,792,-1208
18-Oct-21 42,31588,29763,43774,30574,5817,11000,810,-1190
25-Oct-21 43,31400,29575,44002,30802,5589,11000,1227,-773
01-Nov-21 44,31194,29066,43062,29862,6529,11000,796,-1204
08-Nov-21 45,31167,29038,43464,30264,6127,11000,1225,-775
15-Nov-21 46,31281,29153,42960,29760,6631,11000,607,-1393
22-Nov-21 47,31139,29010,42345,29145,7246,11000,134,-1866
29-Nov-21 48,30786,28674,42804,29604,6787,11000,929,-1071
06-Dec-21 49,30908,28807,42827,29627,6764,11000,820,-1180
13-Dec-21 50,30078,27977,42179,28979,7412,11000,1001,-999
20-Dec-21 51,28684,26583,41514,28314,8077,11000,1730,-270
27-Dec-21 52,27041,24940,41636,28436,7955,11000,3496,1496
03-Jan-22 1,29304,26817,41431,28231,8160,11000,1414,-586
10-Jan-22 2,30021,27824,41774,28574,7817,11000,749,-1251
17-Jan-22 3,30199,28002,41443,28243,8148,11000,240,-1760
24-Jan-22 4,30136,27940,43681,30481,5910,11000,2541,541
31-Jan-22 5,31053,28896,42927,29727,6664,11000,830,-1170
07-Feb-22 6,31542,29386,43732,30532,5859,11000,1146,-854
14-Feb-22 7,31517,29361,44063,30863,5528,11000,1502,-498
21-Feb-22 8,31330,29174,44207,31007,5384,11000,1833,-167
28-Feb-22 9,31272,29375,44321,31121,5270,11000,1746,-254
07-Mar-22 10,31598,29725,44846,31646,4745,11000,1921,-79
14-Mar-22 11,31415,29492,44846,31646,4745,11000,2153,153
21-Mar-22 12,31216,29161,44375,31175,5216,11000,2013,13
28-Mar-22 13,31470,29415,45086,31886,4505,11000,2471,471
04-Apr-22 14,31778,30416,45183,31983,4408,11000,1567,-433
11-Apr-22 15,32207,30845,43975,30775,5616,11000,-70,-2070
18-Apr-22 16,32460,31098,42750,29550,6841,11000,-1549,-3549
25-Apr-22 17,32036,30674,43365,30165,6226,11000,-510,-2510
02-May-22 18,32895,31659,45892,32692,3699,11000,1032,-968
